index;origin;destination;slots;max_length;osnr_limit;pchC;pchL
1;1;2;6;2500;16;0.00075;0.0005769230769230769
2;1;3;6;2500;16;0.00075;0.0005769230769230769
3;1;4;6;2500;16;0.00075;0.0005769230769230769
4;1;5;3;5000;13;0.000375;0.00028846153846153843
5;1;6;3;5000;13;0.000375;0.00028846153846153843
6;1;7;3;5000;13;0.000375;0.00028846153846153843
7;1;8;3;5000;13;0.000375;0.00028846153846153843
8;1;9;3;5000;13;0.000375;0.00028846153846153843
9;1;10;3;5000;13;0.000375;0.00028846153846153843
10;1;11;3;5000;13;0.000375;0.00028846153846153843
11;1;12;3;5000;13;0.000375;0.00028846153846153843
12;1;13;3;5000;13;0.000375;0.00028846153846153843
13;1;14;3;5000;13;0.000375;0.00028846153846153843
14;2;3;4;1000;16;0.0005;0.0003846153846153846
15;2;4;4;1000;16;0.0005;0.0003846153846153846
16;2;5;6;2500;16;0.00075;0.0005769230769230769
17;2;6;3;5000;13;0.000375;0.00028846153846153843
18;2;7;6;2500;16;0.00075;0.0005769230769230769
19;2;8;3;5000;13;0.000375;0.00028846153846153843
20;2;9;3;5000;13;0.000375;0.00028846153846153843
21;2;10;3;5000;13;0.000375;0.00028846153846153843
22;2;11;3;5000;13;0.000375;0.00028846153846153843
23;2;12;3;5000;13;0.000375;0.00028846153846153843
24;2;13;3;5000;13;0.000375;0.00028846153846153843
25;2;14;3;5000;13;0.000375;0.00028846153846153843
26;3;4;6;2500;16;0.00075;0.0005769230769230769
27;3;5;6;2500;16;0.00075;0.0005769230769230769
28;3;6;6;2500;16;0.00075;0.0005769230769230769
29;3;7;3;5000;13;0.000375;0.00028846153846153843
30;3;8;3;5000;13;0.000375;0.00028846153846153843
31;3;9;3;5000;13;0.000375;0.00028846153846153843
32;3;10;3;5000;13;0.000375;0.00028846153846153843
33;3;11;3;5000;13;0.000375;0.00028846153846153843
34;3;12;3;5000;13;0.000375;0.00028846153846153843
35;3;13;3;5000;13;0.000375;0.00028846153846153843
36;3;14;3;5000;13;0.000375;0.00028846153846153843
37;4;5;4;1000;16;0.0005;0.0003846153846153846
38;4;6;6;2500;16;0.00075;0.0005769230769230769
39;4;7;6;2500;16;0.00075;0.0005769230769230769
40;4;8;6;2500;16;0.00075;0.0005769230769230769
41;4;9;3;5000;13;0.000375;0.00028846153846153843
42;4;10;3;5000;13;0.000375;0.00028846153846153843
43;4;11;6;2500;16;0.00075;0.0005769230769230769
44;4;12;3;5000;13;0.000375;0.00028846153846153843
45;4;13;3;5000;13;0.000375;0.00028846153846153843
46;4;14;3;5000;13;0.000375;0.00028846153846153843
47;5;6;6;2500;16;0.00075;0.0005769230769230769
48;5;7;4;1000;16;0.0005;0.0003846153846153846
49;5;8;6;2500;16;0.00075;0.0005769230769230769
50;5;9;6;2500;16;0.00075;0.0005769230769230769
51;5;10;6;2500;16;0.00075;0.0005769230769230769
52;5;11;3;5000;13;0.000375;0.00028846153846153843
53;5;12;3;5000;13;0.000375;0.00028846153846153843
54;5;13;3;5000;13;0.000375;0.00028846153846153843
55;5;14;3;5000;13;0.000375;0.00028846153846153843
56;6;7;6;2500;16;0.00075;0.0005769230769230769
57;6;8;3;5000;13;0.000375;0.00028846153846153843
58;6;9;6;2500;16;0.00075;0.0005769230769230769
59;6;10;6;2500;16;0.00075;0.0005769230769230769
60;6;11;3;5000;13;0.000375;0.00028846153846153843
61;6;12;6;2500;16;0.00075;0.0005769230769230769
62;6;13;6;2500;16;0.00075;0.0005769230769230769
63;6;14;6;2500;16;0.00075;0.0005769230769230769
64;7;8;4;1000;16;0.0005;0.0003846153846153846
65;7;9;6;2500;16;0.00075;0.0005769230769230769
66;7;10;6;2500;16;0.00075;0.0005769230769230769
67;7;11;3;5000;13;0.000375;0.00028846153846153843
68;7;12;6;2500;16;0.00075;0.0005769230769230769
69;7;13;6;2500;16;0.00075;0.0005769230769230769
70;7;14;6;2500;16;0.00075;0.0005769230769230769
71;8;9;4;1000;16;0.0005;0.0003846153846153846
72;8;10;6;2500;16;0.00075;0.0005769230769230769
73;8;11;6;2500;16;0.00075;0.0005769230769230769
74;8;12;6;2500;16;0.00075;0.0005769230769230769
75;8;13;6;2500;16;0.00075;0.0005769230769230769
76;8;14;6;2500;16;0.00075;0.0005769230769230769
77;9;10;4;1000;16;0.0005;0.0003846153846153846
78;9;11;6;2500;16;0.00075;0.0005769230769230769
79;9;12;3;500;22;0.000375;0.00028846153846153843
80;9;13;4;1000;16;0.0005;0.0003846153846153846
81;9;14;3;500;22;0.000375;0.00028846153846153843
82;10;11;6;2500;16;0.00075;0.0005769230769230769
83;10;12;6;2500;16;0.00075;0.0005769230769230769
84;10;13;6;2500;16;0.00075;0.0005769230769230769
85;10;14;6;2500;16;0.00075;0.0005769230769230769
86;11;12;4;1000;16;0.0005;0.0003846153846153846
87;11;13;6;2500;16;0.00075;0.0005769230769230769
88;11;14;4;1000;16;0.0005;0.0003846153846153846
89;12;13;3;500;22;0.000375;0.00028846153846153843
90;12;14;4;1000;16;0.0005;0.0003846153846153846
91;13;14;3;500;22;0.000375;0.00028846153846153843
