Index;Origin;Destination;length;slices;cost;amps
1;1;3;160;20;0;2
2;1;9;313;20;0;3
3;2;3;124;20;0;1
4;2;4;288;20;0;3
5;2;5;159;20;0;1
6;3;5;132;20;0;1
7;4;5;291;20;0;3
8;4;10;195;20;0;2
9;5;9;183;20;0;2
10;5;10;264;20;0;3
10;5;11;352;20;0;4
11;6;7;35;20;0;0
12;6;9;37;20;0;0
13;7;8;42;20;0;0
14;8;9;95;20;0;1
15;8;11;194;20;0;2
16;10;11;393;20;0;4
17;10;13;281;20;0;3
18;11;12;79;20;0;0
19;11;13;225;20;0;2
20;12;14;66;20;0;0
21;13;15;208;20;0;2
22;13;17;166;20;0;2
23;14;15;80;20;0;1
24;15;16;92;20;0;1
25;16;17;156;20;0;1
