index;origin;destination;slots;max_length;osnr_limit;pch
1;4;5;6;1000;24;0.00075
2;4;8;6;1000;24;0.00075
3;4;16;6;1000;24;0.00075
4;5;8;6;2000;21;0.00075
5;5;16;6;1000;24;0.00075
6;8;16;6;2000;21;0.00075
7;1;8;4;1000;16;0.0005
8;1;5;4;1000;16;0.0005
9;1;4;6;2500;16;0.00075
10;2;5;4;1000;16;0.0005
11;2;16;3;500;22;0.000375
12;2;4;3;500;22;0.000375
13;3;16;6;2500;16;0.00075
14;3;5;3;500;22;0.000375
15;3;8;6;2500;16;0.00075
16;5;6;4;1000;16;0.0005
17;6;8;6;2500;16;0.00075
18;4;6;6;2500;16;0.00075
19;5;7;6;2500;16;0.00075
20;7;8;6;2500;16;0.00075
21;7;16;3;500;22;0.000375
22;9;16;4;1000;16;0.0005
23;4;9;3;500;22;0.000375
24;5;9;4;1000;16;0.0005
25;10;16;3;500;22;0.000375
26;5;10;4;1000;16;0.0005
27;4;10;3;500;22;0.000375
28;4;11;6;2500;16;0.00075
29;5;11;4;1000;16;0.0005
30;11;16;6;2500;16;0.00075
31;8;12;6;2500;16;0.00075
32;12;16;6;2500;16;0.00075
33;4;12;6;2500;16;0.00075
34;13;16;6;2500;16;0.00075
35;8;13;6;2500;16;0.00075
36;5;13;6;2500;16;0.00075
37;14;16;6;2500;16;0.00075
38;8;14;6;2500;16;0.00075
39;5;14;6;2500;16;0.00075
40;8;15;3;500;22;0.000375
41;5;15;4;1000;16;0.0005
42;4;15;4;1000;16;0.0005
43;16;17;6;2500;16;0.00075
44;4;17;6;2500;16;0.00075
45;8;17;4;1000;16;0.0005
46;8;18;6;2500;16;0.00075
47;16;18;6;2500;16;0.00075
48;5;18;3;500;22;0.000375
