Index;Origin;Destination;length;slices;cost;lineAmps;pnli;pase
1;2;3;10;80;1;1;3.0442002819690756e-09;2.971921542672514e-09
2;1;2;5;80;1;1;9.455172135239311e-10;1.3156350923123417e-09
3;1;4;15;80;1;1;5.561541838151512e-09;5.057062644241291e-09
4;3;4;18;80;1;1;7.097142492552122e-09;6.559073409380988e-09
5;3;6;20;80;1;1;8.097639294776067e-09;7.68209976418271e-09
6;5;6;17;80;1;1;6.588380409246226e-09;6.03517770983469e-09
7;4;5;19;80;1;1;7.600668243500108e-09;7.107659552577012e-09
8;1;9;30;80;1;1;1.2533285523435051e-08;1.5147229162732814e-08
9;4;9;20;80;1;1;8.097639294776067e-09;7.68209976418271e-09
10;5;10;50;80;1;1;1.810527423798467e-08;4.573021917301748e-08
11;9;10;8;80;1;1;2.122746183210957e-09;2.263339816065547e-09
12;6;7;10;80;1;1;3.0442002819690756e-09;2.971921542672514e-09
13;7;8;13;80;1;1;4.5355594987306395e-09;4.165011102282795e-09
14;5;8;15;80;1;1;5.561541838151512e-09;5.057062644241291e-09
15;7;11;19;80;1;1;7.600668243500108e-09;7.107659552577012e-09
16;8;11;25;80;1;1;1.0450642976522152e-08;1.0986825701379934e-08
17;11;12;24;80;1;1;1.0000047599199417e-08;1.0263648321433107e-08
18;11;14;34;80;1;1;1.398782992652243e-08;1.9238707897126777e-08
19;12;14;10;80;1;1;3.0442002819690756e-09;2.971921542672514e-09
20;12;13;6;80;1;1;1.3027926636852878e-09;1.6171056008304695e-09
21;13;14;12;80;1;1;4.029010191608049e-09;3.748865956082542e-09
22;8;15;10;80;1;1;3.0442002819690756e-09;2.971921542672514e-09
23;14;15;7;80;1;1;1.6973256517484266e-09;1.932783976695222e-09
24;10;15;23;80;1;1;9.53885856271695e-09;9.573019285205476e-09
25;13;17;20;80;1;1;8.097639294776067e-09;7.68209976418271e-09
26;16;17;40;80;1;1;1.582848516971792e-08;2.6978661927336208e-08
27;15;16;13;80;1;1;4.5355594987306395e-09;4.165011102282795e-09
28;10;18;20;80;1;1;8.097639294776067e-09;7.68209976418271e-09
29;16;18;14;80;1;1;5.047302292427866e-09;4.600768565001896e-09
30;16;19;19;80;1;1;7.600668243500108e-09;7.107659552577012e-09
31;9;19;31;80;1;1;1.2914590685545484e-08;1.610056261701929e-08
32;17;20;5;80;1;1;9.455172135239311e-10;1.3156350923123417e-09
33;19;20;4;80;1;1;6.326436280677505e-10;1.0277329917734178e-09
34;19;21;16;80;1;1;6.075919490749348e-09;5.534861200919463e-09
35;20;21;17;80;1;1;6.588380409246226e-09;6.03517770983469e-09
