Index;Origin;Destination;length;slices;cost;lineAmps;pnli;pase
1;2;3;10;80;1;1;0;2.971921542672514e-09
2;1;2;5;80;1;1;0;1.3156350923123417e-09
3;1;4;15;80;1;1;0;5.057062644241291e-09
4;3;4;18;80;1;1;0;6.559073409380988e-09
5;3;6;20;80;1;1;0;7.68209976418271e-09
6;5;6;17;80;1;1;0;6.03517770983469e-09
7;4;5;19;80;1;1;0;7.107659552577012e-09
8;1;9;30;80;1;1;0;1.5147229162732814e-08
9;4;9;20;80;1;1;0;7.68209976418271e-09
10;5;10;50;80;1;1;0;4.573021917301748e-08
11;9;10;8;80;1;1;0;2.263339816065547e-09
12;6;7;10;80;1;1;0;2.971921542672514e-09
13;7;8;13;80;1;1;0;4.165011102282795e-09
14;5;8;15;80;1;1;0;5.057062644241291e-09
15;7;11;19;80;1;1;0;7.107659552577012e-09
16;8;11;25;80;1;1;0;1.0986825701379934e-08
17;11;12;24;80;1;1;0;1.0263648321433107e-08
18;11;14;34;80;1;1;0;1.9238707897126777e-08
19;12;14;10;80;1;1;0;2.971921542672514e-09
20;12;13;6;80;1;1;0;1.6171056008304695e-09
21;13;14;12;80;1;1;0;3.748865956082542e-09
22;8;15;10;80;1;1;0;2.971921542672514e-09
23;14;15;7;80;1;1;0;1.932783976695222e-09
24;10;15;23;80;1;1;0;9.573019285205476e-09
25;13;17;20;80;1;1;0;7.68209976418271e-09
26;16;17;40;80;1;1;0;2.6978661927336208e-08
27;15;16;13;80;1;1;0;4.165011102282795e-09
28;10;18;20;80;1;1;0;7.68209976418271e-09
29;16;18;14;80;1;1;0;4.600768565001896e-09
30;16;19;19;80;1;1;0;7.107659552577012e-09
31;9;19;31;80;1;1;0;1.610056261701929e-08
32;17;20;5;80;1;1;0;1.3156350923123417e-09
33;19;20;4;80;1;1;0;1.0277329917734178e-09
34;19;21;16;80;1;1;0;5.534861200919463e-09
35;20;21;17;80;1;1;0;6.03517770983469e-09
