LinkS;TranspS;Instance;Demands;UB;LB;GAP;Time;OF;Formulation;CD;OSNR;GNpy;Bands;Reinforcements;Cuts;Prepro;PreproTime;Variables;Constraints;v0;preproC;Paths;FeasibleC;InfeasibleC;OnlyOsnrC;OnlyReachC;FeasibleL;InfeasibleL;OnlyOsnrL;OnlyReachL;ads;dcb;llb;nlus;slus;suld;trl;tus;tase
1.5x;random;German_17_26;20;200.000000;200.000000;0.000000;7.342000;3;0;1;0;1;1;0;0;0;0.003069;24603;10160;6597;0;0;0;0;0;0;21896;53;1;0;20;20;0;30;453;51;10217.000000;200;2366.666667
1.5x;random;German_17_26;30;309.000000;309.000000;0.000000;13.749000;3;0;1;0;1;1;0;0;0;0.012659;57076;21990;13124;0;0;0;0;0;0;22007;14129;2;0;30;30;0;45;824;76;14974.000000;309;3600.000000
1.5x;random;German_17_26;40;527.000000;527.000000;0.000000;33.861000;3;0;1;0;1;1;0;0;0;0.012186;103550;38320;21250;0;0;0;0;0;0;21936;14129;2;0;40;40;0;60;1354;114;21433.000000;527;5666.666667
1.5x;random;German_17_26;40;523.000000;523.000000;0.000000;35.468000;3;0;1;0;1;1;0;0;0;0.014634;103550;38320;21250;0;0;0;0;0;0;21864;14129;2;0;40;40;0;60;1243;113;20648.000000;523;5616.666667
1.5x;random;German_17_26;30;309.000000;309.000000;0.000000;10.668000;3;0;1;0;1;1;0;0;0;0.008885;57076;21990;13124;0;0;0;0;0;0;22099;14129;2;0;30;30;0;45;824;76;14974.000000;309;3600.000000
1.5x;random;German_17_26;20;200.000000;200.000000;0.000000;6.077000;3;0;1;0;1;1;0;0;0;0.006973;24603;10160;6597;0;0;0;0;0;0;21930;53;1;0;20;20;0;30;453;51;10217.000000;200;2366.666667
1.5x;random;German_17_26;20;201.000000;201.000000;0.000000;9.911000;3;0;1;0;1;1;0;0;0;0.005250;24343;10160;6857;0;0;0;0;0;0;22013;53;1;0;20;20;0;29;468;46;8943.000000;201;2150.000000
1.5x;random;German_17_26;20;200.000000;200.000000;0.000000;19.708000;3;0;1;0;1;1;0;0;0;0.006252;15543;6900;5257;0;0;0;0;0;0;22040;53;1;0;20;20;0;20;345;51;9702.000000;200;2366.666667
1.5x;random;German_17_26;20;200.000000;200.000000;0.000000;19.704000;3;0;1;0;1;1;0;0;0;0.003396;15543;6900;5257;0;0;0;0;0;0;21933;53;1;0;20;20;0;20;345;51;9702.000000;200;2366.666667
1.5x;random;German_17_26;20;-1.000000;-1.000000;0.000000;2.071000;3;0;1;0;1;1;0;0;0;0.003506;11013;5270;4587;0;0;0;0;0;0;21934;13873;2;0;0;0;0;247191264;21934;1;0.000000;0;0.000000
1.5x;random;German_17_26;20;206.000000;206.000000;0.000000;11.055000;3;0;1;0;1;1;0;0;0;0.004561;13731;6248;4989;0;0;0;0;0;0;21855;53;1;0;20;20;0;18;313;53;10025.000000;206;2433.333333
1.5x;random;German_17_26;30;309.000000;309.000000;0.000000;11.953000;3;0;1;0;1;1;0;0;0;0.011099;36571;14850;10229;0;0;0;0;0;0;21914;-16764367;2;0;30;30;0;30;577;76;15102.000000;309;3600.000000
