Index;Origin;Destination;length;slices;cost;lineAmps;pnli;pase
1;1;2;32;120;24;1;0;1.7098825292814638e-08
2;1;3;145;120;124;2;0;2.762494383175848e-07
3;1;5;82;120;41;2;0;5.697918725836057e-08
4;2;3;48;120;42;1;0;4.125937072734629e-08
5;2;4;62;120;56;1;0;8.32188787338429e-08
6;2;6;119;120;68;2;0;1.4723267005417313e-07
7;3;4;126;120;77;2;0;1.7476066039169098e-07
8;3;5;120;120;85;2;0;1.5089886919948521e-07
9;3;7;86;120;49;2;0;6.345687403053975e-08
10;3;8;136;120;68;2;0;2.2264190653365478e-07
11;4;6;112;120;4;2;0;1.2380255036264437e-07
12;4;7;79;120;19;1;0;1.8809824699184775e-07
13;4;8;138;120;96;2;0;2.336136293975753e-07
14;5;7;104;120;35;2;0;1.0126481402391325e-07
15;5;8;66;120;7;1;0;1.0107883118221211e-07
16;6;8;113;120;32;2;0;1.2692299191084454e-07
17;6;10;91;120;79;2;0;7.243976830533208e-08
18;7;8;23;120;2;1;0;9.573019285205476e-09
19;7;9;83;120;53;2;0;5.85431127255986e-08
20;8;9;99;120;19;2;0;8.914722306897331e-08
21;8;10;95;120;26;2;0;8.040906404824861e-08
22;9;10;136;120;109;2;0;2.2264190653365478e-07
