index;origin;destination;slots;max_length
1;1;2;5;2000
2;1;3;5;2000
3;1;4;5;2000
4;1;5;5;2000
5;1;6;5;2000
6;1;7;5;2000
7;1;8;5;2000
8;1;9;5;2000
9;2;3;5;2000
10;2;4;5;2000
11;2;5;5;2000
12;2;6;5;2000
13;2;7;5;2000
14;2;8;5;2000
15;2;9;5;2000
16;3;4;6;2000
17;3;5;6;2000
18;3;6;6;2000
19;3;7;6;2000
20;3;8;6;2000
21;3;9;6;2000
22;4;5;6;2000
23;4;6;6;2000
24;4;7;6;2000
25;4;8;6;2000
26;4;9;6;2000
27;5;6;6;2000
28;5;7;6;2000
29;5;8;6;2000
30;5;9;6;2000
31;6;7;6;2000
32;6;8;6;2000
33;6;9;6;2000
34;7;8;6;2000
35;7;9;6;2000
36;8;9;6;2000
