id;Length;l_amps;n_amps;OSNRCONSTRAINT;OSNRPOGGIO;DELTA
1;80;1;2;27.87;27.87;0.0
2;160;2;2;27.158;-39.544;66.702
3;240;3;2;26.545;-43.523;70.06800000000001
4;320;4;2;26.009;-45.912;71.92099999999999
5;400;5;2;25.531;-47.617;73.148
6;480;6;2;25.101;-48.939;74.03999999999999
7;560;7;2;24.71;-50.016;74.726
8;640;8;2;24.351;-50.924;75.275
9;720;9;2;24.02;-51.708;75.728
10;800;10;2;23.711;-52.397;76.108
11;880;11;2;23.424;-53.011;76.435
12;960;12;2;23.154;-53.564;76.718
13;1040;13;2;22.9;-54.068;76.96799999999999
14;1120;14;2;22.66;-54.53;77.19
15;1200;15;2;22.433;-54.956;77.38900000000001
16;1280;16;2;22.217;-55.352;77.56899999999999
17;1360;17;2;22.011;-55.721;77.732
18;1440;18;2;21.815;-56.067;77.882
19;1520;19;2;21.627;-56.393;78.02
20;1600;20;2;21.446;-56.7;78.146
21;1680;21;2;21.273;-56.991;78.264
22;1760;22;2;21.107;-57.267;78.374
23;1840;23;2;20.947;-57.529;78.476
24;1920;24;2;20.792;-57.78;78.572
25;2000;25;2;20.643;-58.019;78.662
26;2080;26;2;20.499;-58.249;78.748
27;2160;27;2;20.359;-58.468;78.827
28;2240;28;2;20.224;-58.68;78.904
29;2320;29;2;20.093;-58.883;78.976
30;2400;30;2;19.965;-59.079;79.044
31;2480;31;2;19.841;-59.268;79.10900000000001
32;2560;32;2;19.721;-59.45;79.171
33;2640;33;2;19.604;-59.627;79.231
34;2720;34;2;19.49;-59.797;79.28699999999999
35;2800;35;2;19.379;-59.963;79.342
36;2880;36;2;19.271;-60.123;79.394
37;2960;37;2;19.165;-60.279;79.444
38;3040;38;2;19.062;-60.431;79.493
39;3120;39;2;18.961;-60.578;79.539
40;3200;40;2;18.863;-60.721;79.584
41;3280;41;2;18.766;-60.86;79.626
42;3360;42;2;18.672;-60.996;79.668
43;3440;43;2;18.58;-61.129;79.709
44;3520;44;2;18.49;-61.258;79.748
45;3600;45;2;18.401;-61.384;79.785
46;3680;46;2;18.315;-61.507;79.822
47;3760;47;2;18.23;-61.628;79.858
48;3840;48;2;18.146;-61.745;79.89099999999999
49;3920;49;2;18.065;-61.86;79.925
50;4000;50;2;17.984;-61.973;79.957
51;160;2;3;25.859;25.859;0.0
52;240;3;3;25.397;-39.544;64.941
53;320;4;3;24.979;-42.554;67.533
54;400;5;3;24.598;-44.984;69.582
55;480;6;3;24.248;-46.533;70.781
56;560;7;3;23.924;-47.89;71.814
57;640;8;3;23.622;-48.922;72.544
58;720;9;3;23.34;-49.858;73.198
59;800;10;3;23.076;-50.627;73.703
60;880;11;3;22.826;-51.338;74.164
61;960;12;3;22.59;-51.949;74.539
62;1040;13;3;22.366;-52.521;74.887
63;1120;14;3;22.153;-53.027;75.18
64;1200;15;3;21.951;-53.504;75.455
65;1280;16;3;21.757;-53.935;75.69200000000001
66;1360;17;3;21.571;-54.344;75.915
67;1440;18;3;21.393;-54.718;76.111
68;1520;19;3;21.222;-55.076;76.298
69;1600;20;3;21.058;-55.407;76.465
70;1680;21;3;20.899;-55.725;76.624
71;1760;22;3;20.746;-56.021;76.767
72;1840;23;3;20.599;-56.307;76.906
73;1920;24;3;20.456;-56.575;77.031
74;2000;25;3;20.318;-56.834;77.152
75;2080;26;3;20.184;-57.078;77.262
76;2160;27;3;20.054;-57.315;77.369
77;2240;28;3;19.927;-57.54;77.467
78;2320;29;3;19.805;-57.758;77.563
79;2400;30;3;19.685;-57.966;77.651
80;2480;31;3;19.569;-58.169;77.738
81;2560;32;3;19.456;-58.362;77.818
82;2640;33;3;19.346;-58.551;77.897
83;2720;34;3;19.239;-58.731;77.97
84;2800;35;3;19.134;-58.908;78.042
85;2880;36;3;19.031;-59.078;78.10900000000001
86;2960;37;3;18.931;-59.243;78.174
87;3040;38;3;18.833;-59.403;78.23599999999999
88;3120;39;3;18.738;-59.559;78.297
89;3200;40;3;18.644;-59.71;78.354
90;3280;41;3;18.553;-59.858;78.411
91;3360;42;3;18.463;-60.001;78.464
92;3440;43;3;18.375;-60.141;78.51599999999999
93;3520;44;3;18.289;-60.277;78.566
94;3600;45;3;18.204;-60.41;78.614
95;3680;46;3;18.121;-60.54;78.661
96;3760;47;3;18.04;-60.667;78.707
