index;origin;destination;slots;max_length;slots;max_length;osnr_limit;pch;pch
1;2;4;6;1000;3;2000;15;0.00075;0.00075
2;2;11;6;1000;3;2000;15;0.00075;0.00075
3;2;17;6;2000;3;2000;15;0.00075;0.00075
4;4;11;6;1000;3;2000;15;0.00075;0.00075
5;4;17;6;2000;3;2000;15;0.00075;0.00075
6;11;17;6;1000;3;2000;15;0.00075;0.00075
7;1;2;3;500;3;2000;15;0.000375;0.000375
8;1;11;4;1000;3;2000;15;0.0005;0.0005
9;1;17;4;1000;3;2000;15;0.0005;0.0005
10;1;4;4;1000;3;2000;15;0.0005;0.0005
11;3;4;3;500;3;2000;15;0.000375;0.000375
12;2;3;3;500;3;2000;15;0.000375;0.000375
13;3;11;4;1000;3;2000;15;0.0005;0.0005
14;3;17;4;1000;3;2000;15;0.0005;0.0005
15;2;5;3;500;3;2000;15;0.000375;0.000375
16;5;17;4;1000;3;2000;15;0.0005;0.0005
17;5;11;3;500;3;2000;15;0.000375;0.000375
18;4;5;3;500;3;2000;15;0.000375;0.000375
19;4;6;4;1000;3;2000;15;0.0005;0.0005
20;2;6;4;1000;3;2000;15;0.0005;0.0005
21;6;11;4;1000;3;2000;15;0.0005;0.0005
22;6;17;4;1000;3;2000;15;0.0005;0.0005
23;4;7;4;1000;3;2000;15;0.0005;0.0005
24;7;11;3;500;3;2000;15;0.000375;0.000375
25;2;7;4;1000;3;2000;15;0.0005;0.0005
26;7;17;4;1000;3;2000;15;0.0005;0.0005
27;8;17;4;1000;3;2000;15;0.0005;0.0005
28;8;11;3;500;3;2000;15;0.000375;0.000375
29;4;8;4;1000;3;2000;15;0.0005;0.0005
30;2;8;4;1000;3;2000;15;0.0005;0.0005
31;9;11;3;500;3;2000;15;0.000375;0.000375
32;9;17;4;1000;3;2000;15;0.0005;0.0005
33;2;9;3;500;3;2000;15;0.000375;0.000375
34;4;9;4;1000;3;2000;15;0.0005;0.0005
35;2;10;4;1000;3;2000;15;0.0005;0.0005
36;4;10;3;500;3;2000;15;0.000375;0.000375
37;10;11;3;500;3;2000;15;0.000375;0.000375
38;10;17;3;500;3;2000;15;0.000375;0.000375
39;2;12;4;1000;3;2000;15;0.0005;0.0005
40;11;12;3;500;3;2000;15;0.000375;0.000375
41;4;12;4;1000;3;2000;15;0.0005;0.0005
42;12;17;4;1000;3;2000;15;0.0005;0.0005
43;4;13;4;1000;3;2000;15;0.0005;0.0005
44;11;13;3;500;3;2000;15;0.000375;0.000375
45;13;17;3;500;3;2000;15;0.000375;0.000375
46;2;13;4;1000;3;2000;15;0.0005;0.0005
47;4;14;4;1000;3;2000;15;0.0005;0.0005
48;11;14;3;500;3;2000;15;0.000375;0.000375
49;2;14;4;1000;3;2000;15;0.0005;0.0005
50;14;17;4;1000;3;2000;15;0.0005;0.0005
51;15;17;3;500;3;2000;15;0.000375;0.000375
52;11;15;4;1000;3;2000;15;0.0005;0.0005
53;4;15;4;1000;3;2000;15;0.0005;0.0005
54;2;15;4;1000;3;2000;15;0.0005;0.0005
55;4;16;4;1000;3;2000;15;0.0005;0.0005
56;11;16;4;1000;3;2000;15;0.0005;0.0005
57;2;16;4;1000;3;2000;15;0.0005;0.0005
58;16;17;3;500;3;2000;15;0.000375;0.000375
