index;origin;destination;slots;max_length;osnr_limit
1;1;2;5;3000;0
2;1;3;5;3000;0
3;1;4;5;3000;0
4;1;5;3;6000;0
5;1;6;3;6000;0
6;1;7;3;6000;0
7;1;8;3;6000;0
8;1;9;3;6000;0
9;1;10;3;6000;0
10;1;11;3;6000;0
11;1;12;3;6000;0
12;1;13;3;6000;0
13;1;14;3;6000;0
14;2;3;5;3000;0
15;2;4;5;3000;0
16;2;5;5;3000;0
17;2;6;3;6000;0
18;2;7;3;6000;0
19;2;8;3;6000;0
20;2;9;3;6000;0
21;2;10;3;6000;0
22;2;11;3;6000;0
23;2;12;3;6000;0
24;2;13;3;6000;0
25;2;14;3;6000;0
26;3;4;5;3000;0
27;3;5;5;3000;0
28;3;6;5;3000;0
29;3;7;3;6000;0
30;3;8;3;6000;0
31;3;9;3;6000;0
32;3;10;3;6000;0
33;3;11;3;6000;0
34;3;12;3;6000;0
35;3;13;3;6000;0
36;3;14;3;6000;0
37;4;5;5;3000;0
38;4;6;5;3000;0
39;4;7;5;3000;0
40;4;8;5;3000;0
41;4;9;3;6000;0
42;4;10;3;6000;0
43;4;11;3;6000;0
44;4;12;3;6000;0
45;4;13;3;6000;0
46;4;14;3;6000;0
47;5;6;5;3000;0
48;5;7;5;3000;0
49;5;8;3;6000;0
50;5;9;5;3000;0
51;5;10;5;3000;0
52;5;11;3;6000;0
53;5;12;3;6000;0
54;5;13;3;6000;0
55;5;14;3;6000;0
56;6;7;5;3000;0
57;6;8;3;6000;0
58;6;9;3;6000;0
59;6;10;5;3000;0
60;6;11;3;6000;0
61;6;12;5;3000;0
62;6;13;5;3000;0
63;6;14;5;3000;0
64;7;8;5;3000;0
65;7;9;5;3000;0
66;7;10;5;3000;0
67;7;11;3;6000;0
68;7;12;5;3000;0
69;7;13;3;6000;0
70;7;14;5;3000;0
71;8;9;3;6000;0
72;8;10;3;6000;0
73;8;11;5;3000;0
74;8;12;5;3000;0
75;8;13;5;3000;0
76;8;14;5;3000;0
77;9;10;5;3000;0
78;9;11;3;6000;0
79;9;12;3;6000;0
80;9;13;5;3000;0
81;9;14;6;600;0
82;10;11;3;6000;0
83;10;12;5;3000;0
84;10;13;3;6000;0
85;10;14;5;3000;0
86;11;12;5;3000;0
87;11;13;5;3000;0
88;11;14;3;3000;0
89;12;13;6;600;0
90;12;14;6;3000;0
91;13;14;6;600;0
92;1;2;5;3000;0
93;1;3;5;3000;0
94;1;4;5;3000;0
95;1;5;3;6000;0
96;1;6;3;6000;0
97;1;7;3;6000;0
98;1;8;3;6000;0
99;1;9;3;6000;0
100;1;10;3;6000;0
101;1;11;3;6000;0
102;1;12;3;6000;0
103;1;13;3;6000;0
104;1;14;3;6000;0
105;2;3;5;3000;0
106;2;4;5;3000;0
107;2;5;5;3000;0
108;2;6;3;6000;0
109;2;7;3;6000;0
110;2;8;3;6000;0
111;2;9;3;6000;0
112;2;10;3;6000;0
113;2;11;3;6000;0
114;2;12;3;6000;0
115;2;13;3;6000;0
116;2;14;3;6000;0
117;3;4;5;3000;0
118;3;5;5;3000;0
119;3;6;5;3000;0
120;3;7;3;6000;0
121;3;8;3;6000;0
122;3;9;3;6000;0
123;3;10;3;6000;0
124;3;11;3;6000;0
125;3;12;3;6000;0
126;3;13;3;6000;0
127;3;14;3;6000;0
128;4;5;5;3000;0
129;4;6;5;3000;0
130;4;7;5;3000;0
131;4;8;5;3000;0
132;4;9;3;6000;0
133;4;10;3;6000;0
134;4;11;3;6000;0
135;4;12;3;6000;0
136;4;13;3;6000;0
137;4;14;3;6000;0
138;5;6;5;3000;0
139;5;7;5;3000;0
140;5;8;3;6000;0
141;5;9;5;3000;0
142;5;10;5;3000;0
143;5;11;3;6000;0
144;5;12;3;6000;0
145;5;13;3;6000;0
146;5;14;3;6000;0
147;6;7;5;3000;0
148;6;8;3;6000;0
149;6;9;3;6000;0
150;6;10;5;3000;0
151;6;11;3;6000;0
152;6;12;5;3000;0
153;6;13;5;3000;0
154;6;14;5;3000;0
155;7;8;5;3000;0
156;7;9;5;3000;0
157;7;10;5;3000;0
158;7;11;3;6000;0
159;7;12;5;3000;0
160;7;13;3;6000;0
161;7;14;5;3000;0
162;8;9;3;6000;0
163;8;10;3;6000;0
164;8;11;5;3000;0
165;8;12;5;3000;0
166;8;13;5;3000;0
167;8;14;5;3000;0
168;9;10;5;3000;0
169;9;11;3;6000;0
170;9;12;3;6000;0
171;9;13;5;3000;0
172;9;14;6;600;0
173;10;11;3;6000;0
174;10;12;5;3000;0
175;10;13;3;6000;0
176;10;14;5;3000;0
177;11;12;5;3000;0
178;11;13;5;3000;0
179;11;14;3;3000;0
180;12;13;6;600;0
181;12;14;6;3000;0
182;13;14;6;600;0
183;1;2;5;3000;0
184;1;3;5;3000;0
185;1;4;5;3000;0
186;1;5;3;6000;0
187;1;6;3;6000;0
188;1;7;3;6000;0
189;1;8;3;6000;0
190;1;9;3;6000;0
191;1;10;3;6000;0
192;1;11;3;6000;0
193;1;12;3;6000;0
194;1;13;3;6000;0
195;1;14;3;6000;0
196;2;3;5;3000;0
197;2;4;5;3000;0
198;2;5;5;3000;0
199;2;6;3;6000;0
200;2;7;3;6000;0
201;2;8;3;6000;0
202;2;9;3;6000;0
203;2;10;3;6000;0
204;2;11;3;6000;0
205;2;12;3;6000;0
206;2;13;3;6000;0
207;2;14;3;6000;0
208;3;4;5;3000;0
209;3;5;5;3000;0
210;3;6;5;3000;0
211;3;7;3;6000;0
212;3;8;3;6000;0
