Index;Origin;Destination;length;slices;cost;lineAmps;pnli;pase
1;1;2;447;120;0;6;1.2557394375876228e-07;9.116457701394641e-07
2;1;3;304;120;0;4;8.409010055640584e-08;6.526842919411465e-07
3;2;4;568;120;0;8;1.6547908804816788e-07;1.028530754096415e-06
4;2;3;434;120;0;6;1.2469423805108944e-07;8.221786857661726e-07
5;3;5;443;120;0;6;1.2531222965943234e-07;8.831607298224154e-07
6;4;5;273;120;0;4;8.185893131491975e-08;4.5067530371615515e-07
7;4;6;462;120;0;6;1.2648896239748015e-07;1.0266033316550588e-06
8;5;7;230;120;0;3;6.318638813955183e-08;5.052501548669634e-07
9;6;8;233;120;0;3;6.335810301459849e-08;5.297802606788931e-07
10;6;7;348;120;0;5;1.0288072463552695e-07;6.011083192428185e-07
11;7;9;467;120;0;6;1.2677196631803244e-07;1.0679591334668889e-06
12;7;8;302;120;0;4;8.396815661732756e-08;6.37364740562665e-07
13;8;9;93;120;0;2;3.481685952564308e-08;7.633268248041125e-08
