index;source;destination;slots;max_length
1;5;1;4;1000
2;1;2;3;2000
3;4;1;4;1000
4;1;2;4;1000
5;3;1;4;1000
6;3;5;6;2000
7;5;2;3;2000
8;3;5;3;2000
9;4;2;3;1000
10;5;4;6;2000
11;4;1;6;2000
12;4;5;3;2000
13;3;4;3;500
14;3;1;4;1000
15;3;4;3;500
16;1;2;4;1000
17;4;2;4;1000
18;5;1;3;2000
19;1;2;4;1000
20;1;2;3;500
21;4;3;3;500
22;5;4;6;2000
23;1;2;6;2000
24;1;2;4;1000
25;5;1;4;1000
26;5;2;4;1000
27;1;2;3;2000
28;3;2;4;1000
29;3;2;6;2000
30;4;2;4;1000
31;2;5;3;500
32;5;4;3;2000
33;2;1;4;1000
34;3;4;3;500
35;4;3;3;500
36;4;5;3;1000
37;5;3;4;1000
38;5;1;4;1000
39;4;1;3;2000
