index;origin;destination;slots;max_length;osnr_limit;pch
1;2;4;6;1000;24;0.00075
2;2;11;6;1000;24;0.00075
3;2;17;6;1000;24;0.00075
4;4;11;6;1000;24;0.00075
5;4;17;6;1000;24;0.00075
6;11;17;6;1000;24;0.00075
7;1;2;3;500;22;0.000375
8;1;4;4;1000;16;0.0005
9;1;17;4;1000;16;0.0005
10;3;17;4;1000;16;0.0005
11;3;4;3;500;22;0.000375
12;2;3;3;500;22;0.000375
13;5;17;4;1000;16;0.0005
14;4;5;3;500;22;0.000375
15;5;11;3;500;22;0.000375
16;6;11;3;500;22;0.000375
17;2;6;3;500;22;0.000375
18;4;6;4;1000;16;0.0005
19;7;17;4;1000;16;0.0005
20;7;11;3;500;22;0.000375
21;2;7;3;500;22;0.000375
22;8;17;4;1000;16;0.0005
23;8;11;3;500;22;0.000375
24;2;8;3;500;22;0.000375
25;2;9;3;500;22;0.000375
26;9;17;4;1000;16;0.0005
27;4;9;4;1000;16;0.0005
28;2;10;3;500;22;0.000375
29;10;11;3;500;22;0.000375
30;10;17;3;500;22;0.000375
31;11;12;3;500;22;0.000375
32;12;17;3;500;22;0.000375
33;4;12;4;1000;16;0.0005
34;11;13;3;500;22;0.000375
35;4;13;3;500;22;0.000375
36;2;13;4;1000;16;0.0005
37;4;14;4;1000;16;0.0005
38;2;14;4;1000;16;0.0005
39;11;14;3;500;22;0.000375
40;15;17;3;500;22;0.000375
41;11;15;3;500;22;0.000375
42;2;15;4;1000;16;0.0005
43;4;16;4;1000;16;0.0005
44;2;16;4;1000;16;0.0005
45;16;17;3;500;22;0.000375
