index;origin;destination;slots;max_length;osnr_limit;pch
1;1;2;6;2000;21;0.000625
2;1;3;6;2000;21;0.000625
3;1;4;6;2000;21;0.000625
4;1;5;6;2000;21;0.000625
5;1;6;6;2000;21;0.000625
6;2;3;6;2000;21;0.000625
7;2;4;6;2000;21;0.000625
8;2;5;6;2000;21;0.000625
9;2;6;6;2000;21;0.000625
10;3;4;6;2000;21;0.000625
11;3;5;6;2000;21;0.000625
12;3;6;6;2000;21;0.000625
13;4;5;6;2000;21;0.000625
14;4;6;6;2000;21;0.000625
15;5;6;6;2000;21;0.000625
16;1;2;3;500;22;0.000625
17;1;3;3;500;22;0.000625
18;1;4;3;500;22;0.000625
19;1;5;3;500;22;0.000625
20;1;6;3;500;22;0.000625
21;2;3;3;500;22;0.000625
22;2;4;3;500;22;0.000625
23;2;5;3;500;22;0.000625
24;2;6;3;500;22;0.000625
25;3;4;3;500;22;0.000625
26;3;5;3;500;22;0.000625
27;3;6;3;500;22;0.000625
28;4;5;3;500;22;0.000625
29;4;6;3;500;22;0.000625
30;5;6;3;500;22;0.000625
