Index;Origin;Destination;length;slicesC;SlicesL
1;1;5;523;40;40
2;1;14;1282;40;40
3;1;15;592;40;40
4;1;17;264;40;40
5;1;18;257;40;40
6;2;4;264;40;40
7;2;5;649;40;40
8;2;9;187;40;40
9;2;10;173;40;40
10;2;16;320;40;40
11;3;5;356;40;40
12;3;6;520;40;40
13;3;11;482;40;40
14;3;18;634;40;40
15;4;7;778;40;40
16;4;9;288;40;40
17;4;12;1452;40;40
18;4;13;1051;40;40
19;4;15;790;40;40
20;4;16;342;40;40
21;5;9;601;40;40
22;5;10;574;40;40
23;5;18;279;40;40
24;6;11;417;40;40
25;7;11;1264;40;40
26;7;16;463;40;40
27;8;12;1683;40;40
28;8;13;1188;40;40
29;8;14;1461;40;40
30;8;17;527;40;40
31;9;10;320;40;40
32;9;15;304;40;40
33;10;16;357;40;40
34;11;16;1153;40;40
35;12;13;502;40;40
36;13;15;1246;40;40
37;14;17;1083;40;40
38;14;18;1535;40;40
39;15;17;591;40;40
40;8;15;217;40;40
