index;origin;destination;slots;max_length;slots;max_length;osnr_limit;pch;pch
1;4;5;6;2000;3;2000;15;0.00075;0.00075
2;4;8;6;2000;3;2000;15;0.00075;0.00075
3;4;16;6;2000;3;2000;15;0.00075;0.00075
4;5;8;6;2000;3;2000;15;0.00075;0.00075
5;5;16;6;2000;3;2000;15;0.00075;0.00075
6;8;16;6;2000;3;2000;15;0.00075;0.00075
7;1;5;6;2000;3;2000;15;0.00075;0.00075
8;1;4;6;2000;3;2000;15;0.00075;0.00075
9;1;8;6;2000;3;2000;15;0.00075;0.00075
10;2;8;6;2000;3;2000;15;0.00075;0.00075
11;2;5;6;2000;3;2000;15;0.00075;0.00075
12;2;16;6;2000;3;2000;15;0.00075;0.00075
13;3;5;6;2000;3;2000;15;0.00075;0.00075
14;3;4;6;2000;3;2000;15;0.00075;0.00075
15;3;16;6;2000;3;2000;15;0.00075;0.00075
16;6;8;6;2500;3;2000;15;0.00075;0.00075
17;5;6;6;2000;3;2000;15;0.00075;0.00075
18;4;6;6;2500;3;2000;15;0.00075;0.00075
19;7;16;6;2000;3;2000;15;0.00075;0.00075
20;7;8;6;2500;3;2000;15;0.00075;0.00075
21;4;7;6;2000;3;2000;15;0.00075;0.00075
22;4;9;6;2000;3;2000;15;0.00075;0.00075
23;9;16;6;2000;3;2000;15;0.00075;0.00075
24;5;9;6;2000;3;2000;15;0.00075;0.00075
25;4;10;6;2000;3;2000;15;0.00075;0.00075
26;5;10;6;2000;3;2000;15;0.00075;0.00075
27;8;10;6;2000;3;2000;15;0.00075;0.00075
28;5;11;6;2000;3;2000;15;0.00075;0.00075
29;11;16;6;2000;3;2000;15;0.00075;0.00075
30;4;11;6;2000;3;2000;15;0.00075;0.00075
31;12;16;6;2000;3;2000;15;0.00075;0.00075
32;8;12;6;2000;3;2000;15;0.00075;0.00075
33;5;12;6;2500;3;5000;13;0.00075;0.00075
34;5;13;6;2500;3;2000;15;0.00075;0.00075
35;4;13;6;2000;3;2000;15;0.00075;0.00075
36;13;16;6;2000;3;2000;15;0.00075;0.00075
37;8;14;6;2000;3;2000;15;0.00075;0.00075
38;5;14;6;2000;3;2000;15;0.00075;0.00075
39;14;16;6;2500;3;5000;13;0.00075;0.00075
40;8;15;6;2000;3;2000;15;0.00075;0.00075
41;4;15;6;2000;3;2000;15;0.00075;0.00075
42;15;16;6;2000;3;2000;15;0.00075;0.00075
43;8;17;6;2000;3;2000;15;0.00075;0.00075
44;16;17;6;2000;3;2000;15;0.00075;0.00075
45;5;17;6;2000;3;2000;15;0.00075;0.00075
46;4;18;6;2000;3;2000;15;0.00075;0.00075
47;5;18;6;2000;3;2000;15;0.00075;0.00075
48;16;18;6;2000;3;2000;15;0.00075;0.00075
