LinkS;TranspS;Instance;Demands;OF;Formulation;CD;OSNR;GNpy;Bands;Reinforcements;Cuts;Prepro
1.5x;random;German_17_26;80;TUS;0;1;1;0;1;0;0;2;
1.5x;random;German_17_26;30;TUS;0;1;1;0;1;0;0;2;
1.5x;random;German_17_26;60;TUS;0;1;1;0;1;0;0;2;
1.5x;random;German_17_26;50;TUS;0;1;1;0;1;0;0;2;
1.5x;random;German_17_26;70;TUS;0;1;1;0;1;0;0;2;
1.5x;random;German_17_26;40;TUS;0;1;1;0;1;0;0;2;
1.5x;random;German_17_26;20;TUS;0;1;1;0;1;0;0;2;
1.5x;random;Nsfnet_14_21;80;TUS;0;1;1;0;1;0;0;2;
1.5x;random;Nsfnet_14_21;30;TUS;0;1;1;0;1;0;0;2;
1.5x;random;Nsfnet_14_21;60;TUS;0;1;1;0;1;0;0;2;
1.5x;random;Nsfnet_14_21;50;TUS;0;1;1;0;1;0;0;2;
1.5x;random;Nsfnet_14_21;70;TUS;0;1;1;0;1;0;0;2;
1.5x;random;Nsfnet_14_21;40;TUS;0;1;1;0;1;0;0;2;
1.5x;random;Nsfnet_14_21;20;TUS;0;1;1;0;1;0;0;2;
1.5x;random;European_18_40;80;TUS;0;1;1;0;1;0;0;2;
1.5x;random;European_18_40;30;TUS;0;1;1;0;1;0;0;2;
1.5x;random;European_18_40;60;TUS;0;1;1;0;1;0;0;2;
1.5x;random;European_18_40;50;TUS;0;1;1;0;1;0;0;2;
1.5x;random;European_18_40;70;TUS;0;1;1;0;1;0;0;2;
1.5x;random;European_18_40;40;TUS;0;1;1;0;1;0;0;2;
1.5x;random;European_18_40;20;TUS;0;1;1;0;1;0;0;2;
