Index;Origin;Destination;length;slices;cost;lineAmps;pnliC;paseC;pnliL;paseL;pnliS;paseS
1;1;2;32;135;24;1;1.4996467443200203e-08;1.7098825292814638e-08;1.0467618936609867e-08;2.2624063226831613e-08;2.582265035288082e-08;3.3887647770009054e-08
2;1;3;145;135;124;2;4.6949311823766225e-08;2.762494383175848e-07;3.089193936037966e-08;4.276458268916619e-07;7.620756483936686e-08;6.405529814304902e-07
3;1;5;82;135;41;2;3.634619263121179e-08;5.697918725836057e-08;2.4883144564171732e-08;7.782413152910893e-08;6.138442234589934e-08;1.165695450381146e-07
4;2;3;48;135;42;1;2.000329865448585e-08;4.125937072734629e-08;1.352862940489175e-08;5.784602937752179e-08;3.337388082158861e-08;8.664517283147551e-08
5;2;4;62;135;56;1;2.2413007633270736e-08;8.32188787338429e-08;1.4885612835240874e-08;1.2331900537478094e-07;3.6721433772145955e-08;1.8471443328235767e-07
6;2;6;119;135;68;2;4.4160583139167484e-08;1.4723267005417313e-07;2.9408924223134092e-08;2.159738751348294e-07;7.254910329342866e-08;3.23498327188771e-07
7;3;4;126;135;77;2;4.507272110276622e-08;1.7476066039169098e-07;2.9904331871580866e-08;2.6003314189294525e-07;7.377122826429878e-08;3.894928790044307e-07
8;3;5;120;135;85;2;4.429945609888098e-08;1.5089886919948521e-07;2.9484916655167225e-08;2.2180003166484703e-07;7.273656961349057e-08;3.322250858776357e-07
9;3;7;86;135;49;2;3.749589913334541e-08;6.345687403053975e-08;2.557485513960905e-08;8.731085533976064e-08;6.309080853009996e-08;1.3077931592513422e-07
10;3;8;136;135;68;2;4.615728422080629e-08;2.2264190653365478e-07;3.048089191733354e-08;3.382014669745968e-07;7.519354871358848e-08;5.065779773167882e-07
11;4;6;112;135;4;2;4.3100827286727116e-08;1.2380255036264437e-07;2.8822833211924294e-08;1.7907294907586774e-07;7.11032708315203e-08;2.6822595758231616e-07
12;4;7;79;135;19;1;2.392356600686171e-08;1.8809824699184775e-07;1.5672757852518084e-08;2.9937764349663516e-07;3.866324792121401e-08;4.4842537926597286e-07
13;4;8;138;135;96;2;4.634712260180383e-08;2.336136293975753e-07;3.058024529051967e-08;3.5635440687716385e-07;7.54386443205934e-08;5.337685145443703e-07
14;5;7;104;135;35;2;4.168152138103799e-08;1.0126481402391325e-07;2.8022276005533285e-08;1.441827666541245e-07;6.9128370049088e-08;2.1596539763404117e-07
15;5;8;66;135;7;1;2.287582901920003e-08;1.0107883118221211e-07;1.5133490126837865e-08;1.522706503473975e-07;3.7332924185590567e-08;2.2807990381511405e-07
16;6;8;113;135;32;2;4.326204308807512e-08;1.2692299191084454e-07;2.891267054338537e-08;1.8395252577201228e-07;7.132489124137701e-08;2.755348735222955e-07
17;6;10;91;135;79;2;3.881329638689084e-08;7.243976830533208e-08;2.6357728835965667e-08;1.0060409170509755e-07;6.5022085724456e-08;1.5069070439481274e-07
18;7;8;23;135;2;1;1.0768477049317184e-08;9.573019285205476e-09;7.699953213988707e-09;1.2299591761293139e-08;1.8995074312742146e-08;1.842304934983063e-08
19;7;9;83;135;53;2;3.664190493331951e-08;5.85431127255986e-08;2.5061785302126118e-08;8.010648102450187e-08;6.18251125680895e-08;1.1998818186795717e-07
20;8;9;99;135;19;2;4.06669931365137e-08;8.914722306897331e-08;2.7440202635213685e-08;1.2570579779078335e-07;6.769244873665686e-08;1.8828951083950023e-07
21;8;10;95;135;26;2;3.977740411317825e-08;8.040906404824861e-08;2.6923643804476125e-08;1.1251970106857367e-07;6.641814575012216e-08;1.6853860240614844e-07
22;9;10;136;135;109;2;4.615728422080629e-08;2.2264190653365478e-07;3.048089191733354e-08;3.382014669745968e-07;7.519354871358848e-08;5.065779773167882e-07
