index;origin;destination;slotsC;max_cdC;osnr_limitC;slotsL;max_cdL;osnr_limitL;Gbits/s;pchC;pchL;pchS
1;1;2;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
2;1;3;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
3;1;4;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
4;1;5;4;20000;16;6;50000;16;200;0.0005;0.0005;0.0005
5;1;6;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
6;2;3;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
7;2;4;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
8;2;5;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
9;2;6;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
10;3;4;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
11;3;5;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
12;3;6;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
13;4;5;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
14;4;6;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
15;5;6;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
