index;origin;destination;slots;max_length;osnr_limit;pch
1;1;2;4;1000;16;0.0005
2;1;3;4;1000;16;0.0005
3;1;4;4;1000;16;0.0005
4;1;5;3;500;22;0.000375
5;1;6;4;1000;16;0.0005
6;1;7;6;2500;16;0.00075
7;1;8;6;2500;16;0.00075
8;1;9;4;1000;16;0.0005
9;1;10;6;2500;16;0.00075
10;1;11;4;1000;16;0.0005
11;1;12;4;1000;16;0.0005
12;1;13;6;2500;16;0.00075
13;1;14;4;1000;16;0.0005
14;1;15;3;500;22;0.000375
15;1;16;3;500;22;0.000375
16;1;17;6;2500;16;0.00075
17;1;18;4;1000;16;0.0005
18;1;19;6;2500;16;0.00075
19;1;20;6;2500;16;0.00075
20;1;21;4;1000;16;0.0005
21;1;22;3;500;22;0.000375
22;1;23;6;2500;16;0.00075
23;1;24;4;1000;16;0.0005
24;1;25;6;2500;16;0.00075
25;1;26;6;2500;16;0.00075
26;1;27;4;1000;16;0.0005
27;1;28;6;2500;16;0.00075
28;1;29;6;2500;16;0.00075
29;1;30;6;2500;16;0.00075
30;1;31;3;500;22;0.000375
31;1;32;4;1000;16;0.0005
32;2;3;3;500;22;0.000375
33;2;4;6;2500;16;0.00075
34;2;5;4;1000;16;0.0005
35;2;6;3;500;22;0.000375
36;2;7;4;1000;16;0.0005
37;2;8;6;2500;16;0.00075
38;2;9;3;500;22;0.000375
39;2;10;6;2500;16;0.00075
40;2;11;6;2500;16;0.00075
41;2;12;3;500;22;0.000375
42;2;13;6;2500;16;0.00075
43;2;14;3;500;22;0.000375
44;2;15;4;1000;16;0.0005
45;2;16;3;500;22;0.000375
46;2;17;4;1000;16;0.0005
47;2;18;3;500;22;0.000375
48;2;19;6;2500;16;0.00075
49;2;20;3;500;22;0.000375
50;2;21;6;2500;16;0.00075
51;2;22;4;1000;16;0.0005
52;2;23;6;2500;16;0.00075
53;2;24;3;500;22;0.000375
54;2;25;6;2500;16;0.00075
55;2;26;4;1000;16;0.0005
56;2;27;6;2500;16;0.00075
57;2;28;6;2500;16;0.00075
58;2;29;6;2500;16;0.00075
59;2;30;6;2500;16;0.00075
60;2;31;4;1000;16;0.0005
61;2;32;6;2500;16;0.00075
62;3;4;6;2500;16;0.00075
63;3;5;4;1000;16;0.0005
64;3;6;3;500;22;0.000375
65;3;7;4;1000;16;0.0005
66;3;8;6;2500;16;0.00075
67;3;9;3;500;22;0.000375
68;3;10;6;2500;16;0.00075
69;3;11;6;2500;16;0.00075
70;3;12;4;1000;16;0.0005
71;3;13;6;2500;16;0.00075
72;3;14;3;500;22;0.000375
73;3;15;4;1000;16;0.0005
74;3;16;3;500;22;0.000375
75;3;17;4;1000;16;0.0005
76;3;18;3;500;22;0.000375
77;3;19;4;1000;16;0.0005
78;3;20;4;1000;16;0.0005
79;3;21;6;2500;16;0.00075
80;3;22;3;500;22;0.000375
