Index;Origin;Destination;length;slices;cost
1;1;5;10;120;1
2;1;16;358;120;7
3;1;31;223;120;5
4;2;12;278;120;5
5;2;14;10;120;1
6;2;16;199;120;8
7;3;7;602;120;6
8;3;9;10;120;1
9;3;14;220;120;2
10;3;18;10;120;2
11;4;5;934;120;5
12;4;11;10;120;1
13;5;15;227;120;3
14;5;22;333;120;3
15;6;9;10;120;2
16;6;18;10;120;6
17;6;22;315;120;9
18;7;26;601;120;7
19;8;10;618;120;2
20;8;25;10;120;1
21;9;26;583;120;5
22;10;19;211;120;9
23;11;32;331;120;4
24;12;17;406;120;4
25;12;24;10;120;0
26;13;30;289;120;9
27;13;32;476;120;3
28;14;24;278;120;6
29;15;31;10;120;5
30;15;32;510;120;9
31;16;18;143;120;7
32;17;20;206;120;6
33;19;27;258;120;8
34;19;29;158;120;3
35;20;24;190;120;0
36;21;28;283;120;7
37;21;31;555;120;1
38;22;27;506;120;0
39;23;28;319;120;1
40;23;30;10;120;3
41;25;26;691;120;3
42;26;29;244;120;2
