Var1;Var2;Var3;Var4;Var5;osnr_limit;pchC;pchL;pchS
1;3;5;3;3000;21;0.000375;0.000375;0.000375
2;7;5;5;1500;25;0.000625;0.000625;0.000625
3;7;5;5;1500;25;0.000625;0.000625;0.000625
4;1;9;3;3000;16;0.000375;0.000375;0.000375
5;2;7;5;1500;20;0.000625;0.000625;0.000625
6;2;7;5;1500;20;0.000625;0.000625;0.000625
7;6;1;3;3000;17;0.000375;0.000375;0.000375
8;9;7;6;600;24;0.00075;0.00075;0.00075
9;5;1;3;3000;19;0.000375;0.000375;0.000375
10;8;6;3;3000;22;0.000375;0.000375;0.000375
11;6;9;6;600;24;0.00075;0.00075;0.00075
12;9;5;3;3000;19;0.000375;0.000375;0.000375
13;2;7;3;3000;18;0.000375;0.000375;0.000375
14;6;2;5;1500;20;0.000625;0.000625;0.000625
15;6;2;5;1500;20;0.000625;0.000625;0.000625
16;7;9;6;600;24;0.00075;0.00075;0.00075
17;3;1;6;600;25;0.00075;0.00075;0.00075
18;1;6;5;1500;19;0.000625;0.000625;0.000625
19;7;8;5;1500;24;0.000625;0.000625;0.000625
20;7;4;6;600;23;0.00075;0.00075;0.00075
21;9;8;5;1500;27;0.000625;0.000625;0.000625
22;6;8;6;600;25;0.00075;0.00075;0.00075
23;6;3;3;3000;18;0.000375;0.000375;0.000375
24;6;8;5;1500;25;0.000625;0.000625;0.000625
25;2;3;6;600;24;0.00075;0.00075;0.00075
26;2;4;6;600;24;0.00075;0.00075;0.00075
27;3;1;3;3000;22;0.000375;0.000375;0.000375
28;7;9;5;1500;23;0.000625;0.000625;0.000625
29;5;2;3;3000;19;0.000375;0.000375;0.000375
30;4;7;6;600;23;0.00075;0.00075;0.00075
31;3;1;3;3000;22;0.000375;0.000375;0.000375
32;8;6;6;600;25;0.00075;0.00075;0.00075
33;5;7;6;600;26;0.00075;0.00075;0.00075
34;9;1;5;1500;19;0.000625;0.000625;0.000625
35;4;3;5;1500;22;0.000625;0.000625;0.000625
36;4;3;5;1500;22;0.000625;0.000625;0.000625
37;7;6;5;1500;24;0.000625;0.000625;0.000625
38;1;6;5;1500;19;0.000625;0.000625;0.000625
39;6;5;6;600;23;0.00075;0.00075;0.00075
40;8;3;5;1500;20;0.000625;0.000625;0.000625
41;8;3;5;1500;20;0.000625;0.000625;0.000625
42;4;3;3;3000;19;0.000375;0.000375;0.000375
43;6;1;5;1500;19;0.000625;0.000625;0.000625
44;6;1;5;1500;19;0.000625;0.000625;0.000625
45;7;4;3;3000;20;0.000375;0.000375;0.000375
46;3;4;3;3000;19;0.000375;0.000375;0.000375
47;4;7;6;600;23;0.00075;0.00075;0.00075
48;8;1;5;1500;19;0.000625;0.000625;0.000625
49;2;4;3;3000;21;0.000375;0.000375;0.000375
50;2;7;3;3000;18;0.000375;0.000375;0.000375
