index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
2;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
3;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
4;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
5;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
6;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
7;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
8;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
9;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
10;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
11;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
12;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
13;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
14;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
15;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
16;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
17;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
18;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
19;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
20;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
21;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
22;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
23;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
24;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
25;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
26;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
27;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
28;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
29;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
30;1;2;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
