Index;Origin;Destination;length;slices;cost;lineAmps;noiseC;noiseL;noiseS;dispC;dispL;dispS
1;1;3;160;60;60;2;9.454009797791635e-07;1.213759156080746e-06;1.8484708457231148e-06;20;22;22
2;1;9;313;60;60;4;1.3247049826277275e-06;1.7665455868443584e-06;2.706698616470536e-06;20;22;22
3;2;3;124;60;60;2;7.142961836374196e-07;8.283180948913268e-07;1.2695531665955214e-06;20;22;22
4;2;4;288;60;60;4;1.1362300095022936e-06;1.4469529072957731e-06;2.2271224198340737e-06;20;22;22
5;2;5;159;60;60;2;9.361343486915378e-07;1.197684102044095e-06;1.8243650829081985e-06;20;22;22
6;3;5;132;60;60;2;7.509417313060167e-07;8.867171394197539e-07;1.3575070884879232e-06;20;22;22
7;4;5;291;60;60;4;1.1561419904126561e-06;1.4802096173629319e-06;2.277055621425366e-06;20;22;22
8;4;10;195;60;60;3;8.602376483105918e-07;1.0305582736702918e-06;1.5874586312368738e-06;20;22;22
9;5;9;183;60;60;3;8.07619193498464e-07;9.472129459659027e-07;1.4618626653301221e-06;20;22;22
10;5;10;264;60;60;4;9.988510517088409e-07;1.2215254203682247e-06;1.8883327444893326e-06;20;22;22
11;5;11;352;60;60;5;1.2441508801636436e-06;1.5870975897381406e-06;2.4516499133855373e-06;20;22;22
12;6;7;35;60;60;1;5.395858687078995e-07;5.90368653314268e-07;8.951494417908248e-07;20;22;22
13;6;9;37;60;60;1;5.427597854383614e-07;5.943149534175445e-07;9.014927858219357e-07;20;22;22
14;7;8;42;60;60;1;5.515701659974212e-07;6.057508337395064e-07;9.195568384318778e-07;20;22;22
15;8;9;95;60;60;2;6.232188790646192e-07;6.91352203344333e-07;1.0616381806427846e-06;20;22;22
16;8;11;194;60;60;3;8.554930365196821e-07;1.0229616721148967e-06;1.5760224162723565e-06;20;22;22
17;10;11;393;60;60;5;1.5453917533584344e-06;2.096516173373236e-06;3.216165273262699e-06;20;22;22
18;10;13;281;60;60;4;1.0922948430737187e-06;1.3740598656301316e-06;2.1176426936027648e-06;20;22;22
19;11;12;79;60;60;1;7.150542239019018e-07;8.669592598204365e-07;1.313770059673701e-06;20;22;22
20;11;13;225;60;60;3;1.0408163972246991e-06;1.3288665785580365e-06;2.0356369036312316e-06;20;22;22
21;12;14;66;60;60;1;6.269870711046044e-07;7.193129989455186e-07;1.0920942604872187e-06;20;22;22
22;13;15;208;60;60;3;9.287221573239578e-07;1.141746246938301e-06;1.754671667374198e-06;20;22;22
23;13;17;166;60;60;3;7.469814262285208e-07;8.540926184437029e-07;1.321027082653119e-06;20;22;22
24;14;15;80;60;60;1;7.24216695341178e-07;8.828340072760146e-07;1.3375761391048145e-06;20;22;22
25;15;16;92;60;60;2;6.1645780462866e-07;6.818836991314676e-07;1.0470490927299564e-06;20;22;22
26;16;17;156;60;60;2;9.095652778878873e-07;1.1518226490369823e-06;1.7555840568319203e-06;20;22;22
