index;origin;destination;slots;max_length;osnr_limit;pch
1;1;2;6;2500;16;0.00075
2;1;3;6;2500;16;0.00075
3;1;4;6;2500;16;0.00075
4;1;5;3;5000;13;0.000375
5;1;6;3;5000;13;0.000375
6;1;7;3;5000;13;0.000375
7;1;8;3;5000;13;0.000375
8;1;9;3;5000;13;0.000375
9;1;10;3;5000;13;0.000375
10;1;11;3;5000;13;0.000375
11;1;12;3;5000;13;0.000375
12;1;13;3;5000;13;0.000375
13;1;14;3;5000;13;0.000375
14;2;3;4;1000;16;0.0005
15;2;4;4;1000;16;0.0005
16;2;5;6;2500;16;0.00075
17;2;6;3;5000;13;0.000375
18;2;7;6;2500;16;0.00075
19;2;8;3;5000;13;0.000375
20;2;9;3;5000;13;0.000375
21;2;10;3;5000;13;0.000375
22;2;11;3;5000;13;0.000375
23;2;12;3;5000;13;0.000375
24;2;13;3;5000;13;0.000375
25;2;14;3;5000;13;0.000375
26;3;4;6;2500;16;0.00075
27;3;5;6;2500;16;0.00075
28;3;6;6;2500;16;0.00075
29;3;7;3;5000;13;0.000375
30;3;8;3;5000;13;0.000375
31;3;9;3;5000;13;0.000375
32;3;10;3;5000;13;0.000375
33;3;11;3;5000;13;0.000375
34;3;12;3;5000;13;0.000375
35;3;13;3;5000;13;0.000375
36;3;14;3;5000;13;0.000375
37;4;5;4;1000;16;0.0005
38;4;6;6;2500;16;0.00075
39;4;7;6;2500;16;0.00075
40;4;8;6;2500;16;0.00075
41;4;9;3;5000;13;0.000375
42;4;10;3;5000;13;0.000375
43;4;11;6;2500;16;0.00075
44;4;12;3;5000;13;0.000375
45;4;13;3;5000;13;0.000375
46;4;14;3;5000;13;0.000375
47;5;6;6;2500;16;0.00075
48;5;7;4;1000;16;0.0005
49;5;8;6;2500;16;0.00075
50;5;9;6;2500;16;0.00075
51;5;10;6;2500;16;0.00075
52;5;11;3;5000;13;0.000375
53;5;12;3;5000;13;0.000375
54;5;13;3;5000;13;0.000375
55;5;14;3;5000;13;0.000375
56;6;7;6;2500;16;0.00075
57;6;8;3;5000;13;0.000375
58;6;9;6;2500;16;0.00075
59;6;10;6;2500;16;0.00075
60;6;11;3;5000;13;0.000375
61;6;12;6;2500;16;0.00075
62;6;13;6;2500;16;0.00075
63;6;14;6;2500;16;0.00075
64;7;8;4;1000;16;0.0005
65;7;9;6;2500;16;0.00075
66;7;10;6;2500;16;0.00075
67;7;11;3;5000;13;0.000375
68;7;12;6;2500;16;0.00075
69;7;13;6;2500;16;0.00075
70;7;14;6;2500;16;0.00075
71;8;9;4;1000;16;0.0005
72;8;10;6;2500;16;0.00075
73;8;11;6;2500;16;0.00075
74;8;12;6;2500;16;0.00075
75;8;13;6;2500;16;0.00075
76;8;14;6;2500;16;0.00075
77;9;10;4;1000;16;0.0005
78;9;11;6;2500;16;0.00075
79;9;12;3;500;22;0.000375
80;9;13;4;1000;16;0.0005
81;9;14;3;500;22;0.000375
82;10;11;6;2500;16;0.00075
83;10;12;6;2500;16;0.00075
84;10;13;6;2500;16;0.00075
85;10;14;6;2500;16;0.00075
86;11;12;4;1000;16;0.0005
87;11;13;6;2500;16;0.00075
88;11;14;4;1000;16;0.0005
89;12;13;3;500;22;0.000375
90;12;14;4;1000;16;0.0005
91;13;14;3;500;22;0.000375
