index;origin;destination;slots;max_length
1;1;16;6;2000
2;2;16;6;2000
3;3;16;6;2000
4;1;16;6;2000
5;2;16;6;2000
6;3;16;6;2000
7;1;16;6;2000
8;2;16;6;2000
9;3;16;6;2000
10;1;16;6;2000
11;2;16;6;2000
12;3;16;6;2000
13;1;16;6;2000
14;2;16;6;2000
15;3;16;6;2000
16;1;17;6;2000
17;2;17;6;2000
18;3;17;6;2000
19;1;17;6;2000
20;2;17;6;2000
21;3;17;6;2000
22;1;17;6;2000
23;2;17;6;2000
24;3;17;6;2000
25;1;17;6;2000
26;2;17;6;2000
27;3;17;6;2000
28;1;17;6;2000
29;2;17;6;2000
30;3;17;6;2000
31;8;10;6;2000
32;8;10;6;2000
33;8;10;6;2000
34;8;10;6;2000
35;8;10;6;2000
