Index;Origin;Destination;length;slices;cost;lineAmps;noiseC;noiseL;noiseS;dispC;dispL;dispS
1;1;5;523;30;30;7;3.7305448449069154e-06;2.339690244480352e-06;3.6098810011809397e-06;17;20.0;12.5
2;1;14;1282;30;30;17;9.065634541459677e-06;5.044148092661399e-06;7.81169784360626e-06;17;20.0;12.5
3;1;15;592;30;30;8;3.476358309395574e-06;2.525097701795339e-06;3.902439856310739e-06;17;20.0;12.5
4;1;17;264;30;30;4;1.4329216951452055e-06;1.2215254203682247e-06;1.8883327444893326e-06;17;20.0;12.5
5;1;18;257;30;30;4;1.343444250817441e-06;1.1675527462725836e-06;1.8070918241380727e-06;17;20.0;12.5
6;2;4;264;30;30;4;1.4329216951452055e-06;1.2215254203682247e-06;1.8883327444893326e-06;17;20.0;12.5
7;2;5;649;30;30;9;5.047922640923792e-06;2.576666264076175e-06;3.994053152279989e-06;17;20.0;12.5
8;2;9;187;30;30;3;1.2912421675657344e-06;9.73175139829449e-07;1.5010189651616645e-06;17;20.0;12.5
9;2;10;173;30;30;3;1.083558884889572e-06;8.89325903671066e-07;1.3744040296037367e-06;17;20.0;12.5
10;2;16;320;30;30;4;2.6270092495269028e-06;1.8756094536902088e-06;2.8702602589597158e-06;17;20.0;12.5
11;3;5;356;30;30;5;1.7983723081090008e-06;1.628065676081619e-06;2.5131862928266683e-06;17;20.0;12.5
12;3;6;520;30;30;7;3.645081941721975e-06;2.3026815702430636e-06;3.554339785176664e-06;17;20.0;12.5
13;3;11;482;30;30;7;2.7439932668878483e-06;1.8968567982939596e-06;2.9448943059947817e-06;17;20.0;12.5
14;3;18;634;30;30;8;4.565700057086836e-06;3.103463182008043e-06;4.770107363875362e-06;17;20.0;12.5
15;4;7;778;30;30;10;4.2265440741086e-06;3.5221938599281425e-06;5.427270809891928e-06;17;20.0;12.5
16;4;9;288;30;30;4;1.8236610861293204e-06;1.4469529072957731e-06;2.2271224198340737e-06;17;20.0;12.5
17;4;12;1452;30;30;19;9.190875509109331e-06;5.826731550502884e-06;9.014687876123907e-06;17;20.0;12.5
18;4;13;1051;30;30;14;7.105118104346811e-06;4.1903849108115484e-06;6.487491411039519e-06;17;20.0;12.5
19;4;15;790;30;30;10;4.482477937845733e-06;3.7024128719628157e-06;5.697567704358383e-06;17;20.0;12.5
20;4;16;342;30;30;5;1.6158622965608469e-06;1.491593121194704e-06;2.3081369936262617e-06;17;20.0;12.5
21;5;9;601;30;30;8;3.681220583712058e-06;2.636486596251811e-06;4.069606074317379e-06;17;20.0;12.5
22;5;10;574;30;30;8;3.106657288588296e-06;2.320377376616677e-06;3.595098783700184e-06;17;20.0;12.5
23;5;18;279;30;30;4;1.6601168464546448e-06;1.354383087754561e-06;2.0880802257210462e-06;17;20.0;12.5
24;6;11;417;30;30;6;3.044735585921908e-06;1.741138013315618e-06;2.6970190269629472e-06;17;20.0;12.5
25;7;11;1264;30;30;16;8.508928346842896e-06;5.592715280057736e-06;8.620099467481503e-06;17;20.0;12.5
26;7;16;463;30;30;6;2.3985672760473255e-06;2.279595366975197e-06;3.5053075862650353e-06;17;20.0;12.5
27;8;12;1683;30;30;22;1.1108414046715475e-05;6.683248438469232e-06;1.0343012028518488e-05;17;20.0;12.5
28;8;13;1188;30;30;15;8.773989418334278e-06;5.324332518563914e-06;8.202997899702282e-06;17;20.0;12.5
29;8;14;1461;30;30;19;9.444167851086952e-06;5.950510642479974e-06;9.200381142451384e-06;17;20.0;12.5
30;8;17;527;30;30;7;3.848226780470281e-06;2.3902943023137724e-06;3.6858184985571096e-06;17;20.0;12.5
31;9;10;320;30;30;4;2.6270092495269028e-06;1.8756094536902088e-06;2.8702602589597158e-06;17;20.0;12.5
32;9;15;304;30;30;4;2.176336443156573e-06;1.6397511439826356e-06;2.5164952785705694e-06;17;20.0;12.5
33;10;16;357;30;30;5;1.8125623269084934e-06;1.6385675347864147e-06;2.5289585390404364e-06;17;20.0;12.5
34;11;16;1153;30;30;15;7.674396623334403e-06;4.808106786500783e-06;7.428711961843879e-06;17;20.0;12.5
35;12;13;502;30;30;7;3.178990153688578e-06;2.0966357179872066e-06;3.2450174538180254e-06;17;20.0;12.5
36;13;15;1246;30;30;16;7.98933815887365e-06;5.321879861424351e-06;8.213895858952387e-06;17;20.0;12.5
37;14;17;1083;30;30;14;8.12401539337102e-06;4.620986045018377e-06;7.13352445962144e-06;17;20.0;12.5
38;14;18;1535;30;30;20;1.183684901151781e-05;6.194504960325101e-06;9.580881798041376e-06;17;20.0;12.5
39;15;17;591;30;30;8;3.4544553853684872e-06;2.51310616512897e-06;3.884441401993419e-06;17;20.0;12.5
40;8;15;217;30;30;3;2.0402090594816927e-06;1.2341614142898906e-06;1.8934831549089123e-06;17;20.0;12.5
