Index;Origin;Destination;length;slices;cost;lineAmps;noiseC;noiseL;noiseS;dispC;dispL;dispS
1;1;3;160;30;30;2;9.420337684016293e-07;1.213759156080746e-06;1.8484708457231148e-06;17;20.0;12.5
2;1;9;313;30;30;4;2.4161850323004944e-06;1.7665455868443584e-06;2.706698616470536e-06;17;20.0;12.5
3;2;3;124;30;30;2;7.114772642338175e-07;8.283180948913268e-07;1.2695531665955214e-06;17;20.0;12.5
4;2;4;288;30;30;4;1.8236610861293204e-06;1.4469529072957731e-06;2.2271224198340737e-06;17;20.0;12.5
5;2;5;159;30;30;2;9.327869379142638e-07;1.197684102044095e-06;1.8243650829081985e-06;17;20.0;12.5
6;3;5;132;30;30;2;7.480221688660418e-07;8.867171394197539e-07;1.3575070884879232e-06;17;20.0;12.5
7;4;5;291;30;30;4;1.8833773745633675e-06;1.4802096173629319e-06;2.277055621425366e-06;17;20.0;12.5
8;4;10;195;30;30;3;1.4435392232976037e-06;1.0305582736702918e-06;1.5874586312368738e-06;17;20.0;12.5
9;5;9;183;30;30;3;1.2249598053881117e-06;9.472129459659027e-07;1.4618626653301221e-06;17;20.0;12.5
10;5;10;264;30;30;4;1.4329216951452055e-06;1.2215254203682247e-06;1.8883327444893326e-06;17;20.0;12.5
11;5;11;352;30;30;5;1.7432097462303359e-06;1.5870975897381406e-06;2.4516499133855373e-06;17;20.0;12.5
12;6;7;35;30;30;1;5.380226954994475e-07;5.90368653314268e-07;8.951494417908248e-07;17;20.0;12.5
13;6;9;37;30;30;1;5.411675140690396e-07;5.943149534175445e-07;9.014927858219357e-07;17;20.0;12.5
14;7;8;42;30;30;1;5.499102397831173e-07;6.057508337395064e-07;9.195568384318778e-07;17;20.0;12.5
15;8;9;95;30;30;2;9.235801322683229e-07;6.91352203344333e-07;1.0616381806427846e-06;17;20.0;12.5
16;8;11;194;30;30;3;1.4229374303388496e-06;1.0229616721148967e-06;1.5760224162723565e-06;17;20.0;12.5
17;10;11;393;30;30;5;2.448628461931396e-06;2.096516173373236e-06;3.216165273262699e-06;17;20.0;12.5
18;10;13;281;30;30;4;1.6945390019841942e-06;1.3740598656301316e-06;2.1176426936027648e-06;17;20.0;12.5
19;11;12;79;30;30;1;7.129028033275236e-07;8.669592598204365e-07;1.313770059673701e-06;17;20.0;12.5
20;11;13;225;30;30;3;1.0365273732979983e-06;1.3288665785580365e-06;2.0356369036312316e-06;17;20.0;12.5
21;12;14;66;30;30;1;6.250398553779279e-07;7.193129989455186e-07;1.0920942604872187e-06;17;20.0;12.5
22;13;15;208;30;30;3;1.7592673018226783e-06;1.141746246938301e-06;1.754671667374198e-06;17;20.0;12.5
23;13;17;166;30;30;3;1.0021643404175486e-06;8.540926184437029e-07;1.321027082653119e-06;17;20.0;12.5
24;14;15;80;30;30;1;7.220456551457216e-07;8.828340072760146e-07;1.3375761391048145e-06;17;20.0;12.5
25;15;16;92;30;30;2;8.715111109862296e-07;6.818836991314676e-07;1.0470490927299564e-06;17;20.0;12.5
26;16;17;156;30;30;2;9.062751378577916e-07;1.1518226490369823e-06;1.7555840568319203e-06;17;20.0;12.5
