Index;Origin;Destination;length;slices;cost;lineAmps;noiseC;noiseL;noiseS;dispC;dispL;dispS
1;1;5;523;96;96;7;1.7430162583839139e-06;2.339690244480352e-06;3.6098810011809397e-06;20;22;22
2;1;14;1282;96;96;17;3.6032598542946816e-06;5.044148092661399e-06;7.81169784360626e-06;20;22;22
3;1;15;592;96;96;8;1.8786866238127236e-06;2.525097701795339e-06;3.902439856310739e-06;20;22;22
4;1;17;264;96;96;4;9.988510517088409e-07;1.2215254203682247e-06;1.8883327444893326e-06;20;22;22
5;1;18;257;96;96;4;9.652013302876266e-07;1.1675527462725836e-06;1.8070918241380727e-06;20;22;22
6;2;4;264;96;96;4;9.988510517088409e-07;1.2215254203682247e-06;1.8883327444893326e-06;20;22;22
7;2;5;649;96;96;9;1.934269399126371e-06;2.576666264076175e-06;3.994053152279989e-06;20;22;22
8;2;9;187;96;96;3;8.241509442913943e-07;9.73175139829449e-07;1.5010189651616645e-06;20;22;22
9;2;10;173;96;96;3;7.702046090610795e-07;8.89325903671066e-07;1.3744040296037367e-06;20;22;22
10;2;16;320;96;96;4;1.3877695486551348e-06;1.8756094536902088e-06;2.8702602589597158e-06;20;22;22
11;3;5;356;96;96;5;1.2688883675289048e-06;1.628065676081619e-06;2.5131862928266683e-06;20;22;22
12;3;6;520;96;96;7;1.7211041809676986e-06;2.3026815702430636e-06;3.554339785176664e-06;20;22;22
13;3;11;482;96;96;7;1.4772071806183233e-06;1.8968567982939596e-06;2.9448943059947817e-06;20;22;22
14;3;18;634;96;96;8;2.217220589155958e-06;3.103463182008043e-06;4.770107363875362e-06;20;22;22
15;4;7;778;96;96;10;2.5186580161412147e-06;3.5221938599281425e-06;5.427270809891928e-06;20;22;22
16;4;9;288;96;96;4;1.1362300095022936e-06;1.4469529072957731e-06;2.2271224198340737e-06;20;22;22
17;4;12;1452;96;96;19;4.117330260763934e-06;5.826731550502884e-06;9.014687876123907e-06;20;22;22
18;4;13;1051;96;96;14;3.0201738238501673e-06;4.1903849108115484e-06;6.487491411039519e-06;20;22;22
19;4;15;790;96;96;10;2.6232505408902868e-06;3.7024128719628157e-06;5.697567704358383e-06;20;22;22
20;4;16;342;96;96;5;1.1860431174078652e-06;1.491593121194704e-06;2.3081369936262617e-06;20;22;22
21;5;9;601;96;96;8;1.9446149216664195e-06;2.636486596251811e-06;4.069606074317379e-06;20;22;22
22;5;10;574;96;96;8;1.7564484686852449e-06;2.320377376616677e-06;3.595098783700184e-06;20;22;22
23;5;18;279;96;96;4;1.0803615250766302e-06;1.354383087754561e-06;2.0880802257210462e-06;20;22;22
24;6;11;417;96;96;6;1.3602249680461638e-06;1.741138013315618e-06;2.6970190269629472e-06;20;22;22
25;7;11;1264;96;96;16;3.895381418882544e-06;5.592715280057736e-06;8.620099467481503e-06;20;22;22
26;7;16;463;96;96;6;1.68063945854256e-06;2.279595366975197e-06;3.5053075862650353e-06;20;22;22
27;8;12;1683;96;96;22;4.70187072365795e-06;6.683248438469232e-06;1.0343012028518488e-05;20;22;22
28;8;13;1188;96;96;15;3.7103493764024506e-06;5.324332518563914e-06;8.202997899702282e-06;20;22;22
29;8;14;1461;96;96;19;4.18980636970698e-06;5.950510642479974e-06;9.200381142451384e-06;20;22;22
30;8;17;527;96;96;7;1.7729000789252675e-06;2.3902943023137724e-06;3.6858184985571096e-06;20;22;22
31;9;10;320;96;96;4;1.3877695486551348e-06;1.8756094536902088e-06;2.8702602589597158e-06;20;22;22
32;9;15;304;96;96;4;1.250646542925594e-06;1.6397511439826356e-06;2.5164952785705694e-06;20;22;22
33;10;16;357;96;96;5;1.275212583514674e-06;1.6385675347864147e-06;2.5289585390404364e-06;20;22;22
34;11;16;1153;96;96;15;3.4102183963138166e-06;4.808106786500783e-06;7.428711961843879e-06;20;22;22
35;12;13;502;96;96;7;1.5981594522981404e-06;2.0966357179872066e-06;3.2450174538180254e-06;20;22;22
36;13;15;1246;96;96;16;3.7382276293617498e-06;5.321879861424351e-06;8.213895858952387e-06;20;22;22
37;14;17;1083;96;96;14;3.2728522701876507e-06;4.620986045018377e-06;7.13352445962144e-06;20;22;22
38;14;18;1535;96;96;20;4.360362117372676e-06;6.194504960325101e-06;9.580881798041376e-06;20;22;22
39;15;17;591;96;96;8;1.871565773019815e-06;2.51310616512897e-06;3.884441401993419e-06;20;22;22
40;8;15;217;96;96;3;9.8450580612371e-07;1.2341614142898906e-06;1.8934831549089123e-06;20;22;22
