 index	; origin ; destination; slots ; max_length ;osnr_limit;pch
1; 1 ; 2; 6 ; 2000;210.000375
2; 1 ; 3; 6 ; 2000;210.000375
3; 1 ; 4; 4 ; 1000;16;0.00025
4; 1 ; 5; 4 ; 1000;16;0.00025
5; 1 ; 6; 6 ; 2000;210.000375
6; 2 ; 1; 4 ; 1000;16;0.00025
7; 2 ; 3; 3 ; 2000;15;0.000125
8; 2 ; 4; 3 ; 2000;15;0.000125
9; 2 ; 5; 4 ; 1000;16;0.00025
10; 2 ; 6; 6 ; 2000;210.000375
11; 3 ; 1; 6 ; 2000;210.000375
12; 3 ; 2; 6 ; 2000;210.000375
13; 3 ; 4; 4 ; 1000;16;0.00025
14; 3 ; 5; 3 ; 2000;15;0.000125
15; 3 ; 6; 4 ; 1000;16;0.00025
16; 4 ; 1; 6 ; 2000;210.000375
17; 4 ; 2; 4 ; 1000;16;0.00025
18; 4 ; 3; 6 ; 2000;210.000375
19; 4 ; 5; 3 ; 2000;15;0.000125
20; 4 ; 6; 3 ; 2000;15;0.000125
21; 5 ; 1; 3 ; 2000;15;0.000125
22; 5 ; 2; 3 ; 2000;15;0.000125
23; 5 ; 3; 6 ; 2000;210.000375
24; 5 ; 4; 3 ; 2000;15;0.000125
25; 5 ; 6; 4 ; 1000;16;0.00025
26; 6 ; 1; 4 ; 1000;16;0.00025
27; 6 ; 2; 3 ; 2000;15;0.000125
28; 6 ; 3; 6 ; 2000;210.000375
29; 6 ; 4; 6 ; 2000;210.000375
30; 6 ; 5; 6 ; 2000;210.000375
