id;Length;l_amps;n_amps;OSNRPOGGIO;OSNRPOGGIOEPSILON;OSNRCONSTRAINT
1;80;1;2;24.86;24.86;24.86
2;160;2;2;24.144;24.144;24.147
3;240;3;2;23.528;23.528;23.535
4;320;4;2;22.988;22.988;22.999
5;400;5;2;22.507;22.507;22.521
6;480;6;2;22.074;22.074;22.091
7;560;7;2;21.68;21.679;21.7
8;640;8;2;21.318;21.318;21.341
9;720;9;2;20.984;20.984;21.009
10;800;10;2;20.674;20.674;20.701
11;880;11;2;20.384;20.384;20.414
12;960;12;2;20.112;20.113;20.144
13;1040;13;2;19.856;19.857;19.89
14;1120;14;2;19.615;19.615;19.65
15;1200;15;2;19.386;19.386;19.423
16;1280;16;2;19.168;19.169;19.207
17;1360;17;2;18.961;18.962;19.001
18;1440;18;2;18.763;18.764;18.804
19;1520;19;2;18.573;18.575;18.616
20;1600;20;2;18.392;18.393;18.436
21;1680;21;2;18.218;18.219;18.263
22;1760;22;2;18.05;18.052;18.097
23;1840;23;2;17.889;17.89;17.936
24;1920;24;2;17.733;17.735;17.782
25;2000;25;2;17.583;17.585;17.633
26;2080;26;2;17.438;17.44;17.488
27;2160;27;2;17.297;17.299;17.349
28;2240;28;2;17.161;17.163;17.213
29;2320;29;2;17.029;17.031;17.082
30;2400;30;2;16.901;16.903;16.955
31;2480;31;2;16.776;16.778;16.831
32;2560;32;2;16.655;16.657;16.711
33;2640;33;2;16.537;16.54;16.594
34;2720;34;2;16.423;16.425;16.48
35;2800;35;2;16.311;16.313;16.369
36;2880;36;2;16.202;16.204;16.261
37;2960;37;2;16.096;16.098;16.155
38;3040;38;2;15.992;15.994;16.052
39;3120;39;2;15.89;15.893;15.951
40;3200;40;2;15.791;15.794;15.852
41;3280;41;2;15.694;15.697;15.756
42;3360;42;2;15.6;15.602;15.662
43;3440;43;2;15.507;15.509;15.57
44;3520;44;2;15.416;15.419;15.48
45;3600;45;2;15.327;15.33;15.391
46;3680;46;2;15.24;15.242;15.304
47;3760;47;2;15.154;15.157;15.219
48;3840;48;2;15.07;15.073;15.136
49;3920;49;2;14.988;14.991;15.054
50;4000;50;2;14.907;14.91;14.974
51;160;2;3;22.848;22.848;22.848
52;240;3;3;22.384;22.384;22.386
53;320;4;3;21.965;21.965;21.969
54;400;5;3;21.582;21.581;21.588
55;480;6;3;21.23;21.229;21.238
56;560;7;3;20.903;20.903;20.914
57;640;8;3;20.6;20.599;20.612
58;720;9;3;20.316;20.316;20.33
59;800;10;3;20.049;20.049;20.065
60;880;11;3;19.798;19.798;19.816
61;960;12;3;19.561;19.56;19.58
62;1040;13;3;19.335;19.335;19.356
63;1120;14;3;19.121;19.121;19.143
64;1200;15;3;18.917;18.916;18.94
65;1280;16;3;18.721;18.721;18.746
66;1360;17;3;18.534;18.535;18.561
67;1440;18;3;18.355;18.355;18.383
68;1520;19;3;18.183;18.183;18.212
69;1600;20;3;18.018;18.018;18.048
70;1680;21;3;17.858;17.858;17.889
71;1760;22;3;17.704;17.704;17.736
72;1840;23;3;17.555;17.556;17.588
73;1920;24;3;17.412;17.412;17.446
74;2000;25;3;17.272;17.273;17.307
75;2080;26;3;17.137;17.138;17.173
76;2160;27;3;17.006;17.007;17.043
77;2240;28;3;16.879;16.88;16.917
78;2320;29;3;16.756;16.757;16.794
79;2400;30;3;16.636;16.637;16.675
80;2480;31;3;16.519;16.52;16.559
81;2560;32;3;16.405;16.406;16.446
82;2640;33;3;16.294;16.295;16.336
83;2720;34;3;16.186;16.187;16.228
84;2800;35;3;16.08;16.082;16.123
85;2880;36;3;15.977;15.979;16.021
86;2960;37;3;15.877;15.878;15.921
87;3040;38;3;15.778;15.779;15.823
88;3120;39;3;15.682;15.683;15.727
89;3200;40;3;15.588;15.589;15.634
90;3280;41;3;15.495;15.497;15.542
91;3360;42;3;15.405;15.407;15.453
92;3440;43;3;15.317;15.318;15.365
93;3520;44;3;15.23;15.232;15.278
94;3600;45;3;15.145;15.147;15.194
95;3680;46;3;15.062;15.063;15.111
96;3760;47;3;14.98;14.981;15.03
97;3840;48;3;14.899;14.901;14.95
98;3920;49;3;14.821;14.822;14.872
99;4000;50;3;14.743;14.745;14.795
100;240;3;4;21.479;21.479;21.479
101;320;4;4;21.135;21.135;21.137
102;400;5;4;20.817;20.817;20.82
103;480;6;4;20.521;20.52;20.525
104;560;7;4;20.242;20.242;20.248
105;640;8;4;19.981;19.98;19.988
106;720;9;4;19.734;19.734;19.743
107;800;10;4;19.501;19.5;19.511
108;880;11;4;19.279;19.278;19.29
109;960;12;4;19.068;19.067;19.081
110;1040;13;4;18.866;18.866;18.881
111;1120;14;4;18.674;18.673;18.689
112;1200;15;4;18.49;18.489;18.506
113;1280;16;4;18.313;18.312;18.33
114;1360;17;4;18.143;18.142;18.162
115;1440;18;4;17.979;17.979;17.999
116;1520;19;4;17.821;17.821;17.842
117;1600;20;4;17.669;17.669;17.691
118;1680;21;4;17.522;17.521;17.545
119;1760;22;4;17.379;17.379;17.403
120;1840;23;4;17.241;17.241;17.266
121;1920;24;4;17.108;17.108;17.134
122;2000;25;4;16.978;16.978;17.005
123;2080;26;4;16.852;16.852;16.88
124;2160;27;4;16.729;16.73;16.758
125;2240;28;4;16.61;16.611;16.64
126;2320;29;4;16.494;16.495;16.524
127;2400;30;4;16.381;16.382;16.412
128;2480;31;4;16.271;16.272;16.303
129;2560;32;4;16.164;16.164;16.196
130;2640;33;4;16.059;16.06;16.092
131;2720;34;4;15.957;15.957;15.99
132;2800;35;4;15.857;15.857;15.891
133;2880;36;4;15.759;15.76;15.794
134;2960;37;4;15.663;15.664;15.699
135;3040;38;4;15.57;15.57;15.606
136;3120;39;4;15.478;15.479;15.515
137;3200;40;4;15.388;15.389;15.426
138;3280;41;4;15.3;15.301;15.338
139;3360;42;4;15.214;15.215;15.253
140;3440;43;4;15.13;15.131;15.169
141;3520;44;4;15.047;15.048;15.086
142;3600;45;4;14.965;14.966;15.005
143;3680;46;4;14.885;14.886;14.926
144;3760;47;4;14.807;14.808;14.848
145;3840;48;4;14.73;14.731;14.772
146;3920;49;4;14.654;14.655;14.696
147;4000;50;4;14.58;14.581;14.622
148;320;4;5;20.439;20.439;20.439
149;400;5;5;20.167;20.166;20.168
150;480;6;5;19.91;19.91;19.913
151;560;7;5;19.668;19.668;19.671
152;640;8;5;19.439;19.438;19.443
153;720;9;5;19.22;19.22;19.226
154;800;10;5;19.012;19.012;19.019
155;880;11;5;18.814;18.813;18.822
156;960;12;5;18.624;18.624;18.633
157;1040;13;5;18.442;18.442;18.452
158;1120;14;5;18.267;18.267;18.279
159;1200;15;5;18.099;18.099;18.112
160;1280;16;5;17.938;17.937;17.951
161;1360;17;5;17.782;17.781;17.796
162;1440;18;5;17.631;17.63;17.646
163;1520;19;5;17.485;17.485;17.501
164;1600;20;5;17.344;17.344;17.361
165;1680;21;5;17.208;17.207;17.226
166;1760;22;5;17.075;17.075;17.094
167;1840;23;5;16.947;16.946;16.966
168;1920;24;5;16.822;16.822;16.842
169;2000;25;5;16.7;16.7;16.722
170;2080;26;5;16.582;16.582;16.604
171;2160;27;5;16.467;16.467;16.49
172;2240;28;5;16.355;16.355;16.379
173;2320;29;5;16.246;16.246;16.27
174;2400;30;5;16.139;16.139;16.164
175;2480;31;5;16.035;16.035;16.061
176;2560;32;5;15.934;15.934;15.96
177;2640;33;5;15.834;15.834;15.861
178;2720;34;5;15.737;15.737;15.765
179;2800;35;5;15.642;15.642;15.671
180;2880;36;5;15.549;15.549;15.578
181;2960;37;5;15.458;15.458;15.488
182;3040;38;5;15.369;15.369;15.399
183;3120;39;5;15.282;15.282;15.312
184;3200;40;5;15.196;15.196;15.227
185;3280;41;5;15.112;15.112;15.144
186;3360;42;5;15.029;15.03;15.062
187;3440;43;5;14.948;14.949;14.981
188;3520;44;5;14.869;14.869;14.902
189;3600;45;5;14.791;14.791;14.825
190;3680;46;5;14.714;14.715;14.749
191;3760;47;5;14.639;14.639;14.674
192;3840;48;5;14.565;14.565;14.6
193;3920;49;5;14.492;14.493;14.528
194;4000;50;5;14.42;14.421;14.457
195;400;5;6;19.601;19.601;19.601
196;480;6;6;19.375;19.375;19.376
197;560;7;6;19.16;19.16;19.162
198;640;8;6;18.956;18.955;18.958
199;720;9;6;18.76;18.76;18.764
200;800;10;6;18.573;18.573;18.578
201;880;11;6;18.393;18.393;18.399
202;960;12;6;18.221;18.22;18.227
203;1040;13;6;18.055;18.054;18.062
204;1120;14;6;17.895;17.894;17.903
205;1200;15;6;17.741;17.74;17.75
206;1280;16;6;17.592;17.591;17.602
207;1360;17;6;17.448;17.447;17.459
208;1440;18;6;17.308;17.307;17.32
209;1520;19;6;17.173;17.172;17.185
210;1600;20;6;17.042;17.041;17.055
211;1680;21;6;16.914;16.914;16.929
212;1760;22;6;16.79;16.79;16.806
213;1840;23;6;16.67;16.67;16.686
214;1920;24;6;16.553;16.552;16.57
215;2000;25;6;16.439;16.438;16.456
216;2080;26;6;16.328;16.327;16.346
217;2160;27;6;16.219;16.219;16.238
218;2240;28;6;16.113;16.113;16.133
219;2320;29;6;16.01;16.01;16.03
220;2400;30;6;15.909;15.909;15.93
221;2480;31;6;15.811;15.81;15.832
222;2560;32;6;15.714;15.714;15.736
223;2640;33;6;15.62;15.619;15.642
224;2720;34;6;15.527;15.527;15.551
225;2800;35;6;15.437;15.437;15.461
226;2880;36;6;15.348;15.348;15.373
227;2960;37;6;15.261;15.261;15.286
228;3040;38;6;15.176;15.176;15.202
229;3120;39;6;15.092;15.092;15.119
230;3200;40;6;15.011;15.011;15.037
231;3280;41;6;14.93;14.93;14.957
232;3360;42;6;14.851;14.851;14.879
233;3440;43;6;14.773;14.773;14.802
234;3520;44;6;14.697;14.697;14.726
235;3600;45;6;14.622;14.622;14.651
236;3680;46;6;14.548;14.549;14.578
237;3760;47;6;14.476;14.476;14.506
238;3840;48;6;14.405;14.405;14.435
239;3920;49;6;14.334;14.335;14.366
240;4000;50;6;14.265;14.266;14.297
241;480;6;7;18.899;18.899;18.899
242;560;7;7;18.706;18.706;18.707
243;640;8;7;18.521;18.521;18.523
244;720;9;7;18.344;18.343;18.346
245;800;10;7;18.174;18.173;18.177
246;880;11;7;18.01;18.009;18.014
247;960;12;7;17.852;17.851;17.856
248;1040;13;7;17.699;17.699;17.705
249;1120;14;7;17.552;17.551;17.558
250;1200;15;7;17.409;17.408;17.416
251;1280;16;7;17.271;17.27;17.279
252;1360;17;7;17.137;17.136;17.146
253;1440;18;7;17.007;17.007;17.016
254;1520;19;7;16.881;16.88;16.891
255;1600;20;7;16.758;16.758;16.769
256;1680;21;7;16.639;16.638;16.65
257;1760;22;7;16.523;16.522;16.535
258;1840;23;7;16.41;16.409;16.422
259;1920;24;7;16.299;16.299;16.313
260;2000;25;7;16.192;16.191;16.206
261;2080;26;7;16.087;16.086;16.102
262;2160;27;7;15.984;15.983;16.0
263;2240;28;7;15.884;15.883;15.9
264;2320;29;7;15.786;15.785;15.803
265;2400;30;7;15.69;15.69;15.708
266;2480;31;7;15.596;15.596;15.614
267;2560;32;7;15.504;15.504;15.523
268;2640;33;7;15.415;15.414;15.434
269;2720;34;7;15.326;15.326;15.346
270;2800;35;7;15.24;15.24;15.261
271;2880;36;7;15.155;15.155;15.176
272;2960;37;7;15.072;15.072;15.094
