id;Length;l_amps;n_amps;OSNRPOGGIO;OSNRPOGGIOEPSILON;OSNRCONSTRAINT
1;80;1;2;27.87;27.87;27.87
2;160;2;2;27.154;27.154;27.158
3;240;3;2;26.538;26.538;26.545
4;320;4;2;25.998;25.998;26.009
5;400;5;2;25.517;25.517;25.531
6;480;6;2;25.084;25.084;25.101
7;560;7;2;24.69;24.69;24.71
8;640;8;2;24.328;24.328;24.351
9;720;9;2;23.994;23.994;24.02
10;800;10;2;23.684;23.684;23.711
11;880;11;2;23.394;23.395;23.424
12;960;12;2;23.122;23.123;23.154
13;1040;13;2;22.867;22.867;22.9
14;1120;14;2;22.625;22.626;22.66
15;1200;15;2;22.396;22.397;22.433
16;1280;16;2;22.178;22.179;22.217
17;1360;17;2;21.971;21.972;22.011
18;1440;18;2;21.773;21.774;21.815
19;1520;19;2;21.584;21.585;21.627
20;1600;20;2;21.402;21.404;21.446
21;1680;21;2;21.228;21.229;21.273
22;1760;22;2;21.061;21.062;21.107
23;1840;23;2;20.899;20.901;20.947
24;1920;24;2;20.744;20.745;20.792
25;2000;25;2;20.593;20.595;20.643
26;2080;26;2;20.448;20.45;20.499
27;2160;27;2;20.308;20.309;20.359
28;2240;28;2;20.171;20.173;20.224
29;2320;29;2;20.039;20.041;20.093
30;2400;30;2;19.911;19.913;19.965
31;2480;31;2;19.787;19.789;19.841
32;2560;32;2;19.665;19.668;19.721
33;2640;33;2;19.548;19.55;19.604
34;2720;34;2;19.433;19.435;19.49
35;2800;35;2;19.321;19.323;19.379
36;2880;36;2;19.212;19.215;19.271
37;2960;37;2;19.106;19.108;19.165
38;3040;38;2;19.002;19.004;19.062
39;3120;39;2;18.901;18.903;18.961
40;3200;40;2;18.802;18.804;18.863
41;3280;41;2;18.705;18.707;18.766
42;3360;42;2;18.61;18.612;18.672
43;3440;43;2;18.517;18.52;18.58
44;3520;44;2;18.426;18.429;18.49
45;3600;45;2;18.337;18.34;18.401
46;3680;46;2;18.25;18.253;18.315
47;3760;47;2;18.165;18.167;18.23
48;3840;48;2;18.081;18.083;18.146
49;3920;49;2;17.998;18.001;18.065
50;4000;50;2;17.918;17.92;17.984
51;160;2;3;25.859;25.859;25.859
52;240;3;3;25.395;25.394;25.397
53;320;4;3;24.975;24.975;24.979
54;400;5;3;24.592;24.592;24.598
55;480;6;3;24.24;24.239;24.248
56;560;7;3;23.914;23.913;23.924
57;640;8;3;23.61;23.61;23.622
58;720;9;3;23.326;23.326;23.34
59;800;10;3;23.06;23.059;23.076
60;880;11;3;22.808;22.808;22.826
61;960;12;3;22.571;22.571;22.59
62;1040;13;3;22.345;22.345;22.366
63;1120;14;3;22.131;22.131;22.153
64;1200;15;3;21.927;21.927;21.951
65;1280;16;3;21.732;21.732;21.757
66;1360;17;3;21.545;21.545;21.571
67;1440;18;3;21.366;21.366;21.393
68;1520;19;3;21.193;21.194;21.222
69;1600;20;3;21.028;21.028;21.058
70;1680;21;3;20.868;20.869;20.899
71;1760;22;3;20.714;20.715;20.746
72;1840;23;3;20.566;20.566;20.599
73;1920;24;3;20.422;20.422;20.456
74;2000;25;3;20.283;20.283;20.318
75;2080;26;3;20.148;20.148;20.184
76;2160;27;3;20.017;20.018;20.054
77;2240;28;3;19.89;19.89;19.927
78;2320;29;3;19.766;19.767;19.805
79;2400;30;3;19.646;19.647;19.685
80;2480;31;3;19.529;19.53;19.569
81;2560;32;3;19.415;19.416;19.456
82;2640;33;3;19.304;19.306;19.346
83;2720;34;3;19.196;19.197;19.239
84;2800;35;3;19.091;19.092;19.134
85;2880;36;3;18.988;18.989;19.031
86;2960;37;3;18.887;18.888;18.931
87;3040;38;3;18.788;18.79;18.833
88;3120;39;3;18.692;18.694;18.738
89;3200;40;3;18.598;18.599;18.644
90;3280;41;3;18.506;18.507;18.553
91;3360;42;3;18.415;18.417;18.463
92;3440;43;3;18.327;18.329;18.375
93;3520;44;3;18.24;18.242;18.289
94;3600;45;3;18.155;18.157;18.204
95;3680;46;3;18.072;18.074;18.121
96;3760;47;3;17.99;17.992;18.04
97;3840;48;3;17.91;17.911;17.96
98;3920;49;3;17.831;17.833;17.882
99;4000;50;3;17.753;17.755;17.805
100;240;3;4;24.489;24.489;24.489
101;320;4;4;24.146;24.146;24.147
102;400;5;4;23.827;23.827;23.83
103;480;6;4;23.531;23.53;23.535
104;560;7;4;23.253;23.252;23.259
105;640;8;4;22.991;22.991;22.999
106;720;9;4;22.745;22.744;22.753
107;800;10;4;22.511;22.51;22.521
108;880;11;4;22.289;22.289;22.301
109;960;12;4;22.078;22.078;22.091
110;1040;13;4;21.877;21.876;21.891
111;1120;14;4;21.684;21.684;21.7
112;1200;15;4;21.5;21.499;21.517
113;1280;16;4;21.323;21.323;21.341
114;1360;17;4;21.153;21.152;21.172
115;1440;18;4;20.989;20.989;21.009
116;1520;19;4;20.831;20.831;20.852
117;1600;20;4;20.679;20.679;20.701
118;1680;21;4;20.532;20.532;20.555
119;1760;22;4;20.389;20.389;20.414
120;1840;23;4;20.252;20.252;20.277
121;1920;24;4;20.118;20.118;20.144
122;2000;25;4;19.988;19.988;20.015
123;2080;26;4;19.862;19.862;19.89
124;2160;27;4;19.74;19.74;19.768
