Index;Origin;Destination;length;slices;cost
1;1;5;523;40;0;7
2;1;14;1282;40;0;17
3;1;15;592;40;0;8
4;1;17;264;40;0;
5;1;18;257;40;0
6;2;4;264;40;0
7;2;5;649;40;0
8;2;9;187;40;0
9;2;10;173;40;0
10;2;16;320;40;0
11;3;5;356;40;0
12;3;6;520;40;0
13;3;11;482;40;0
14;3;18;634;40;0
15;4;7;778;40;0
16;4;9;288;40;0
17;4;12;1452;40;0
18;4;13;1051;40;0
19;4;15;790;40;0
20;4;16;342;40;0
21;5;9;601;40;0
22;5;10;574;40;0
23;5;18;279;40;0
24;6;11;417;40;0
25;7;11;1264;40;0
26;7;16;463;40;0
27;8;12;1683;40;0
28;8;13;1188;40;0
29;8;14;1461;40;0
30;8;17;527;40;0
31;9;10;320;40;0
32;9;15;304;40;0
33;10;16;357;40;0
34;11;16;1153;40;0
35;12;13;502;40;0
36;13;15;1246;40;0
37;14;17;1083;40;0
38;14;18;1535;40;0
39;15;17;591;40;0
40;8;15;217;40;0
