Demand;TranspId;Path;Distance;dispersionC val;dispersionC lim;dispersionL val;dispersionL lim;osnrC val;osnrC lim;osnrL val;osnrL lim
1;6;1-3-5-6-4-2-;1750;29750;40000;0;0;20,8942;21;-nan;0;
2;6;1-3-5-4-2-;1500;25500;40000;0;0;21,6335;21;-nan;0;
3;6;1-3-4-2-;1310;22270;40000;0;0;22,068;21;-nan;0;
4;6;1-3-2-;500;8500;40000;0;0;25,9381;21;-nan;0;
5;6;1-2-;250;4250;40000;0;0;28,9484;21;-nan;0;
6;6;1-3-;250;4250;40000;0;0;28,9484;21;-nan;0;
7;6;1-2-4-6-5-3-;1750;29750;40000;0;0;20,8942;21;-nan;0;
8;6;1-2-4-5-3-;1500;25500;40000;0;0;21,6335;21;-nan;0;
9;6;1-2-4-3-;1310;22270;40000;0;0;22,068;21;-nan;0;
10;6;1-2-3-;500;8500;40000;0;0;25,9381;21;-nan;0;
11;1;1-3-5-6-4-;1250;21250;40000;0;0;19,2223;15;-nan;0;
12;1;1-3-5-4-;1000;17000;40000;0;0;20,2627;15;-nan;0;
13;1;1-3-4-;810;13770;40000;0;0;20,9121;15;-nan;0;
14;1;1-3-2-4-;1000;17000;40000;0;0;20,2627;15;-nan;0;
15;1;1-2-4-;750;12750;40000;0;0;21,6335;15;-nan;0;
16;1;1-2-3-5-6-4-;1500;25500;40000;0;0;18,3836;15;-nan;0;
17;1;1-2-3-5-4-;1250;21250;40000;0;0;19,2223;15;-nan;0;
18;1;1-2-3-4-;1060;18020;40000;0;0;19,725;15;-nan;0;
19;7;1-3-5-;750;12750;20000;0;0;24,6438;24;-nan;0;
20;7;1-3-4-6-5-;1310;22270;20000;0;0;21,804;24;-nan;0;
21;7;1-3-4-5-;1060;18020;20000;0;0;22,7353;24;-nan;0;
22;7;1-3-2-4-6-5-;1500;25500;20000;0;0;21,3939;24;-nan;0;
23;7;1-3-2-4-5-;1250;21250;20000;0;0;22,2326;24;-nan;0;
24;7;1-2-4-6-5-;1250;21250;20000;0;0;22,2326;24;-nan;0;
25;7;1-2-4-5-;1000;17000;20000;0;0;23,273;24;-nan;0;
26;7;1-2-4-3-5-;1810;30770;20000;0;0;20,7727;24;-nan;0;
27;7;1-2-3-5-;1000;17000;20000;0;0;23,273;24;-nan;0;
28;7;1-2-3-4-6-5-;1560;26520;20000;0;0;21,0376;24;-nan;0;
29;7;1-2-3-4-5-;1310;22270;20000;0;0;21,804;24;-nan;0;
30;6;1-3-5-6-;1000;17000;40000;0;0;23,273;21;-nan;0;
31;6;1-3-5-4-6-;1250;21250;40000;0;0;22,2326;21;-nan;0;
32;6;1-3-4-6-;1060;18020;40000;0;0;22,7353;21;-nan;0;
33;6;1-3-4-5-6-;1310;22270;40000;0;0;21,804;21;-nan;0;
34;6;1-3-2-4-6-;1250;21250;40000;0;0;22,2326;21;-nan;0;
35;6;1-3-2-4-5-6-;1500;25500;40000;0;0;21,3939;21;-nan;0;
36;6;1-2-4-6-;1000;17000;40000;0;0;23,273;21;-nan;0;
37;6;1-2-4-5-6-;1250;21250;40000;0;0;22,2326;21;-nan;0;
38;6;1-2-4-3-5-6-;2060;35020;40000;0;0;20,1574;21;-nan;0;
39;6;1-2-3-5-6-;1250;21250;40000;0;0;22,2326;21;-nan;0;
40;6;1-2-3-5-4-6-;1500;25500;40000;0;0;21,3939;21;-nan;0;
41;6;1-2-3-4-6-;1310;22270;40000;0;0;21,804;21;-nan;0;
42;6;1-2-3-4-5-6-;1560;26520;40000;0;0;21,0376;21;-nan;0;
43;4;2-4-6-5-3-;1500;25500;10000;0;0;18,6232;22;-nan;0;
44;4;2-4-5-3-;1250;21250;10000;0;0;19,5147;22;-nan;0;
45;4;2-4-3-;1060;18020;10000;0;0;20,0546;22;-nan;0;
46;4;2-3-;250;4250;10000;0;0;25,9381;22;-nan;0;
47;4;2-1-3-;500;8500;10000;0;0;22,9278;22;-nan;0;
48;1;2-4-;500;8500;40000;0;0;23,648;15;-nan;0;
49;1;2-3-5-6-4-;1250;21250;40000;0;0;19,2223;15;-nan;0;
50;1;2-3-5-4-;1000;17000;40000;0;0;20,2627;15;-nan;0;
51;1;2-3-4-;810;13770;40000;0;0;20,9121;15;-nan;0;
52;1;2-1-3-5-6-4-;1500;25500;40000;0;0;18,3836;15;-nan;0;
53;1;2-1-3-5-4-;1250;21250;40000;0;0;19,2223;15;-nan;0;
54;1;2-1-3-4-;1060;18020;40000;0;0;19,725;15;-nan;0;
55;1;2-4-6-5-;1000;17000;40000;0;0;20,2627;15;-nan;0;
56;1;2-4-5-;750;12750;40000;0;0;21,6335;15;-nan;0;
57;1;2-4-3-5-;1560;26520;40000;0;0;18,4795;15;-nan;0;
58;1;2-3-5-;750;12750;40000;0;0;21,6335;15;-nan;0;
59;1;2-3-4-6-5-;1310;22270;40000;0;0;18,7937;15;-nan;0;
60;1;2-3-4-5-;1060;18020;40000;0;0;19,725;15;-nan;0;
61;1;2-1-3-5-;1000;17000;40000;0;0;20,2627;15;-nan;0;
62;1;2-1-3-4-6-5-;1560;26520;40000;0;0;18,0273;15;-nan;0;
63;1;2-1-3-4-5-;1310;22270;40000;0;0;18,7937;15;-nan;0;
64;6;2-4-6-;750;12750;40000;0;0;24,6438;21;-nan;0;
65;6;2-4-5-6-;1000;17000;40000;0;0;23,273;21;-nan;0;
66;6;2-4-3-5-6-;1810;30770;40000;0;0;20,7727;21;-nan;0;
67;6;2-3-5-6-;1000;17000;40000;0;0;23,273;21;-nan;0;
68;6;2-3-5-4-6-;1250;21250;40000;0;0;22,2326;21;-nan;0;
69;6;2-3-4-6-;1060;18020;40000;0;0;22,7353;21;-nan;0;
70;6;2-3-4-5-6-;1310;22270;40000;0;0;21,804;21;-nan;0;
71;6;2-1-3-5-6-;1250;21250;40000;0;0;22,2326;21;-nan;0;
72;6;2-1-3-5-4-6-;1500;25500;40000;0;0;21,3939;21;-nan;0;
73;6;2-1-3-4-6-;1310;22270;40000;0;0;21,804;21;-nan;0;
74;6;2-1-3-4-5-6-;1560;26520;40000;0;0;21,0376;21;-nan;0;
75;7;3-5-6-4-;1000;17000;20000;0;0;23,273;24;-nan;0;
76;7;3-5-4-;750;12750;20000;0;0;24,6438;24;-nan;0;
77;7;3-4-;560;9520;20000;0;0;25,5612;24;-nan;0;
78;7;3-2-4-;750;12750;20000;0;0;24,6438;24;-nan;0;
79;7;3-1-2-4-;1000;17000;20000;0;0;23,273;24;-nan;0;
80;7;3-5-;500;8500;20000;0;0;26,6583;24;-nan;0;
81;7;3-4-6-5-;1060;18020;20000;0;0;22,7353;24;-nan;0;
82;7;3-4-5-;810;13770;20000;0;0;23,9224;24;-nan;0;
83;7;3-2-4-6-5-;1250;21250;20000;0;0;22,2326;24;-nan;0;
84;7;3-2-4-5-;1000;17000;20000;0;0;23,273;24;-nan;0;
85;7;3-1-2-4-6-5-;1500;25500;20000;0;0;21,3939;24;-nan;0;
86;7;3-1-2-4-5-;1250;21250;20000;0;0;22,2326;24;-nan;0;
87;1;3-5-6-;750;12750;40000;0;0;21,6335;15;-nan;0;
88;1;3-5-4-6-;1000;17000;40000;0;0;20,2627;15;-nan;0;
89;1;3-4-6-;810;13770;40000;0;0;20,9121;15;-nan;0;
90;1;3-4-5-6-;1060;18020;40000;0;0;19,725;15;-nan;0;
91;1;3-2-4-6-;1000;17000;40000;0;0;20,2627;15;-nan;0;
92;1;3-2-4-5-6-;1250;21250;40000;0;0;19,2223;15;-nan;0;
93;1;3-1-2-4-6-;1250;21250;40000;0;0;19,2223;15;-nan;0;
94;1;3-1-2-4-5-6-;1500;25500;40000;0;0;18,3836;15;-nan;0;
95;7;4-6-5-;500;8500;20000;0;0;25,9381;24;-nan;0;
96;7;4-5-;250;4250;20000;0;0;28,9484;24;-nan;0;
97;7;4-3-5-;1060;18020;20000;0;0;23,0649;24;-nan;0;
98;7;4-2-3-5-;1250;21250;20000;0;0;22,525;24;-nan;0;
99;7;4-2-1-3-5-;1500;25500;20000;0;0;21,6335;24;-nan;0;
100;1;4-6-;250;4250;40000;0;0;25,9381;15;-nan;0;
101;1;4-5-6-;500;8500;40000;0;0;22,9278;15;-nan;0;
102;1;4-3-5-6-;1310;22270;40000;0;0;19,0577;15;-nan;0;
103;1;4-2-3-5-6-;1500;25500;40000;0;0;18,6232;15;-nan;0;
