Demand	OSNR
1	19,44
2	19,91
3	20,24
4	19,33
5	19,62
6	20,2
7	17,92
8	18,25
9	18,48
10	17,85
11	18,06
12	18,46
13	18,48
14	18,86
15	19,12
16	18,4
17	18,63
18	19,09
19	19,77
20	20,28
21	20,64
22	19,66
23	19,97
24	20,6
25	20,13
26	20,6
27	21,21
28	21,66
29	18,91
30	19,33
31	19,62
32	18,82
33	19,08
34	19,59
35	17,54
36	17,84
37	18,05
38	17,47
39	17,66
40	18,03
41	18,05
42	18,39
43	18,63
44	17,97
45	18,19
46	18,6
47	19,21
48	19,65
49	19,97
50	19,11
51	19,39
52	19,93
53	19,52
54	19,93
55	20,46
56	20,83
57	19,85
58	18,21
59	18,81
60	20,21
61	21,53
62	22,19
63	23,09
64	23,8
65	20,11
66	18,4
67	19,02
68	20,5
69	21,93
70	19,5
71	17,96
72	18,53
73	19,83
74	18,97
75	17,57
76	18,09
77	19,26
78	22,65
79	24,47
80	26,49
81	19,06
82	20,36
83	19,8
84	19,73
85	19,24
86	19,23
87	19,76
88	17,65
89	18,57
90	18,18
91	18,13
92	17,77
93	17,77
94	18,15
95	18,18
96	19,22
97	18,77
98	18,72
99	18,32
100	18,31
101	18,74
102	19,37
103	20,77
104	20,16
105	20,08
106	19,55
107	19,55
108	20,12
109	19,7
110	20,12
111	21,83
112	21,07
113	18,58
114	19,72
115	19,23
116	19,17
117	18,73
118	18,72
119	19,2
120	17,29
121	18,13
122	17,77
123	17,73
124	17,4
125	17,39
126	17,75
127	17,77
128	18,71
129	18,31
130	18,26
131	17,9
132	17,89
133	18,29
134	18,85
135	20,08
136	19,55
137	19,49
138	19,02
139	19,01
140	19,52
141	19,14
142	19,52
143	20,97
144	20,33
145	19,44
146	17,92
147	18,48
148	19,77
149	20,96
150	21,53
151	24,07
152	22,88
153	28,95
154	20,1
155	19,27
156	19,56
157	20,99
158	18,39
159	17,8
160	18,01
161	18,98
162	19,01
163	18,35
164	18,58
165	19,7
166	20,49
167	19,59
168	19,9
169	21,47
170	20,91
171	21,47
172	20,38
173	20,75
174	19,5
175	18,76
176	19,02
177	20,27
178	17,97
179	17,42
180	17,62
181	18,5
182	18,53
183	17,93
184	18,14
185	19,15
186	19,84
187	19,05
188	19,32
189	20,67
190	20,2
191	20,68
192	19,75
193	20,07
194	20,58
195	18,71
196	19,38
197	21,01
198	22,64
199	23,49
200	21,89
201	22,41
202	20,89
203	18,92
204	19,62
205	21,36
206	23,15
207	20,17
208	18,43
209	19,07
210	20,56
211	19,56
212	18,01
213	18,58
214	19,9
215	24,12
216	22,9
217	20,27
218	18,5
219	19,14
220	20,67
221	22,16
222	19,63
223	18,06
224	18,64
225	19,98
226	19,08
227	17,66
228	18,19
229	19,39
230	22,92
231	24,2
232	17,88
233	17,18
234	16,63
235	16,33
236	15,91
237	15,44
238	15,05
239	14,84
240	16,61
241	16,07
