Index;Origin;Destination;length;slices;cost;lineAmps;pnliC;pnliL;paseC;paseL
1;1;3;160;40;0;2;4.248674083900218e-08;1.4293675918823841e-08;3.9440502160069135e-07;6.304470916158068e-07
2;1;9;313;40;0;4;8.46063742527479e-08;2.849369706253374e-08;7.261599070407689e-07;1.1520360759266884e-06
3;2;3;124;40;0;2;3.970747373091562e-08;1.3550853741684913e-08;1.664377574676858e-07;2.4663801074956187e-07
4;2;4;288;40;0;4;8.303415351837514e-08;2.8084325865795114e-08;5.394598237287482e-07;8.333427848973381e-07
5;2;5;159;40;0;2;4.243575768667727e-08;1.4280709832554102e-08;3.8519594571236994e-07;6.144005240706903e-07
6;3;5;132;40;0;2;4.05274202693094e-08;1.3776504439542892e-08;2.0215766236442422e-07;3.04541300694795e-07
7;4;5;291;40;0;4;8.32467003357383e-08;2.8140386086042897e-08;5.591318592085717e-07;8.664763306606125e-07
8;4;10;195;40;0;3;6.050343025482256e-08;2.058620637409454e-08;2.889025368462912e-07;4.3342151979512283e-07
9;5;9;183;40;0;3;5.921892298288217e-08;2.0230899037373216e-08;2.377341703216274e-07;3.5085680230951044e-07
10;5;10;264;40;0;4;8.10548405386188e-08;2.7553008879085784e-08;4.0431532472884844e-07;6.0908260138959e-07
10;5;11;352;40;0;5;1.031955241977624e-07;3.494696950850447e-08;6.246203970215711e-07;9.584102392566732e-07
11;6;7;35;40;0;1;1.4322350506218578e-08;5.101300908369832e-09;2.0384866803546362e-08;2.725223674729621e-08
12;6;9;37;40;0;1;1.4957480986488965e-08;5.304374776509742e-09;2.284178076526553e-08;3.075238356226939e-08
13;7;8;42;40;0;1;1.6357444868333898e-08;5.743416785529337e-09;3.007173334833634e-08;4.122368859041527e-08
14;8;9;95;40;0;2;3.523534758814405e-08;1.2254730907817988e-08;8.040906404824861e-08;1.1251970106857367e-07
15;8;11;194;40;0;3;6.040470564567811e-08;2.0559160843751254e-08;2.842693758836734e-07;4.2588433726989197e-07
16;10;11;393;40;0;5;1.0585264540409377e-07;3.564135676517709e-08;9.228616294795267e-07;1.4663032540888586e-06
17;10;13;281;40;0;4;8.250987446475627e-08;2.794517300692617e-08;4.961165192005475e-07;7.607554620626316e-07
18;11;12;79;40;0;1;2.119180933479791e-08;7.1337086265444154e-09;1.8809824699184775e-07;2.9937764349663516e-07
19;11;13;225;40;0;3;6.288259787830605e-08;2.1222472478243313e-08;4.667954285604504e-07;7.303319480520526e-07
20;12;14;66;40;0;1;2.02637101346547e-08;6.888252219771446e-09;1.0107883118221211e-07;1.522706503473975e-07
21;13;15;208;40;0;3;6.166397872999859e-08;2.0900519838265506e-08;3.56076895432603e-07;5.439189463823483e-07
22;13;17;166;40;0;3;5.6976172447541195e-08;1.95946856847775e-08;1.796282581482214e-07;2.5913423552296346e-07
23;14;15;80;40;0;1;2.124337041950109e-08;7.146837959411921e-09;1.9720251080034567e-07;3.152235458079034e-07
24;15;16;92;40;0;2;3.460125830458851e-08;1.206374583579855e-08;7.436381696755323e-08;1.0347079105893496e-07
25;16;17;156;40;0;2;4.2275770798148234e-08;1.4239820194005405e-08;3.58807485107098e-07;5.686289055994692e-07
