Index;Origin;Destination;length;slices;cost;lineAmps;pnli;pase
1;1;3;160;80;0;2;0;3.9440502160069135e-07
2;1;9;313;80;0;4;0;7.261599070407689e-07
3;2;3;124;80;0;2;0;1.664377574676858e-07
4;2;4;288;80;0;4;0;5.394598237287482e-07
5;2;5;159;80;0;2;0;3.8519594571236994e-07
6;3;5;132;80;0;2;0;2.0215766236442422e-07
7;4;5;291;80;0;4;0;5.591318592085717e-07
8;4;10;195;80;0;3;0;2.889025368462912e-07
9;5;9;183;80;0;3;0;2.377341703216274e-07
10;5;10;264;80;0;4;0;4.0431532472884844e-07
10;5;11;352;80;0;5;0;6.246203970215711e-07
11;6;7;35;80;0;1;0;2.0384866803546362e-08
12;6;9;37;80;0;1;0;2.284178076526553e-08
13;7;8;42;80;0;1;0;3.007173334833634e-08
14;8;9;95;80;0;2;0;8.040906404824861e-08
15;8;11;194;80;0;3;0;2.842693758836734e-07
16;10;11;393;80;0;5;0;9.228616294795267e-07
17;10;13;281;80;0;4;0;4.961165192005475e-07
18;11;12;79;80;0;1;0;1.8809824699184775e-07
19;11;13;225;80;0;3;0;4.667954285604504e-07
20;12;14;66;80;0;1;0;1.0107883118221211e-07
21;13;15;208;80;0;3;0;3.56076895432603e-07
22;13;17;166;80;0;3;0;1.796282581482214e-07
23;14;15;80;80;0;1;0;1.9720251080034567e-07
24;15;16;92;80;0;2;0;7.436381696755323e-08
25;16;17;156;80;0;2;0;3.58807485107098e-07
