Index;Origin;Destination;length;slices;cost
1;2;3;10;80;1
2;1;2;5;80;1
3;1;4;15;80;1
4;3;4;18;80;1
5;3;6;20;80;1
6;5;6;17;80;1
7;4;5;19;80;1
8;1;9;30;80;1
9;4;9;20;80;1
10;5;10;50;80;1
11;9;10;8;80;1
12;6;7;10;80;1
13;7;8;13;80;1
14;5;8;15;80;1
15;7;11;19;80;1
16;8;11;25;80;1
17;11;12;24;80;1
18;11;14;34;80;1
19;12;14;10;80;1
20;12;13;6;80;1
21;13;14;12;80;1
22;8;15;10;80;1
23;14;15;7;80;1
24;10;15;23;80;1
25;13;17;20;80;1
26;16;17;40;80;1
27;15;16;13;80;1
28;10;18;20;80;1
29;16;18;14;80;1
30;16;19;19;80;1
31;9;19;31;80;1
32;17;20;5;80;1
33;19;20;4;80;1
34;19;21;16;80;1
35;20;21;17;80;1
