index;origin;destination;slots;max_length;osnr_limit;pch
1;1;2;5;1500;21;0.000625
2;1;3;5;1500;21;0.000625
3;1;4;5;1500;21;0.000625
4;1;5;5;1500;21;0.000625
5;1;6;5;1500;21;0.000625
6;1;7;5;1500;21;0.000625
7;1;8;5;1500;21;0.000625
8;1;9;5;1500;21;0.000625
9;2;3;5;1500;21;0.000625
10;2;4;5;1500;21;0.000625
11;2;5;5;1500;21;0.000625
12;2;6;5;1500;21;0.000625
13;2;7;5;1500;21;0.000625
14;2;8;5;1500;21;0.000625
15;2;9;5;1500;21;0.000625
16;3;4;5;1500;21;0.000625
17;3;5;5;1500;21;0.000625
18;3;6;5;1500;21;0.000625
19;3;7;5;1500;21;0.000625
20;3;8;5;1500;21;0.000625
21;3;9;5;1500;21;0.000625
22;4;5;5;1500;21;0.000625
23;4;6;5;1500;21;0.000625
24;4;7;5;1500;21;0.000625
25;4;8;5;1500;21;0.000625
26;4;9;5;1500;21;0.000625
27;5;6;5;1500;21;0.000625
28;5;7;5;1500;21;0.000625
29;5;8;5;1500;21;0.000625
30;5;9;5;1500;21;0.000625
31;6;7;5;1500;21;0.000625
32;6;8;5;1500;21;0.000625
33;6;9;5;1500;21;0.000625
34;7;8;5;1500;21;0.000625
35;7;9;5;1500;21;0.000625
36;8;9;5;1500;21;0.000625
