LinkS;TranspS;Instance;Demands;OF;Formulation;CD;OSNR;GNpy;Bands;Reinforcements;Cuts;Prepro;Genetic;It;Pop;Cross;Mut;cK;eK;LBactive;CplexStrategy
0.8x;random;European_18_40;100;LLB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;100;LLB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;100;DCB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;100;DCB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;100_demands-b;LLB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;100_demands-b;LLB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;100_demands-b;DCB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;100_demands-b;DCB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;100_demands-b-b;LLB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;100_demands-b-b;LLB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;100_demands-b-b;DCB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;100_demands-b-b;DCB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;20;LLB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;20;LLB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;20;DCB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;20;DCB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;20_demands-b;LLB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;20_demands-b;LLB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;20_demands-b;DCB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;20_demands-b;DCB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;20_demands-b-b;LLB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;20_demands-b-b;LLB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;20_demands-b-b;DCB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;20_demands-b-b;DCB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;30;LLB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;30;LLB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;30;DCB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;30;DCB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;30_demands-b;LLB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;30_demands-b;LLB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;30_demands-b;DCB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;30_demands-b;DCB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;30_demands-b-b;LLB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;30_demands-b-b;LLB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;30_demands-b-b;DCB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;30_demands-b-b;DCB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;40;LLB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;40;LLB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;40;DCB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;40;DCB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;40_demands-b;LLB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;40_demands-b;LLB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;40_demands-b;DCB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;40_demands-b;DCB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;40_demands-b-b;LLB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;40_demands-b-b;LLB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;40_demands-b-b;DCB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;40_demands-b-b;DCB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;50;LLB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;50;LLB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;50;DCB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;50;DCB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;50_demands-b;LLB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;50_demands-b;LLB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;50_demands-b;DCB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;50_demands-b;DCB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;50_demands-b-b;LLB;22;1;1;0;2;0;0;2;0;50;500;100;200;10;15;1;0
0.8x;random;European_18_40;50_demands-b-b;LLB;22;1;1;0;2;0;0;2;1;50;500;100;200;10;15;1;0
