line amps,node amps,length,kms/link,links,
,,,,,"[313,95,194,79,66,80,92] #1.9.8.11.12.14.15.16"
,,,,,"[313,37,35,42,194,79,66,80,92] #1.9.6.7.8.11.12.14.15.16"
,,,,,"[160,132,352,79,66,80,92] #1.3.5.11.12.14.15.16"
,,,,,"[313,95,194,225,166] #1.9.8.11.13.17"
,,,,,"[160,132,264,281,166] #1.3.5.10.13.17"
,,,,,"[313,37,35,42,194,225,166] #1.9.6.7.8.11.13.17"
,,,,,"[159,352,79,64,80,92] #2.5.11.12.14.15.16"
,,,,,"[124,132,352,79,64,80,92] #2.3.5.11.12.14.15.16"
,,,,,"[159,183,95,194,79,64,80,92] #2.5.9.8.11.12.14.15.16"
,,,,,"[159,264,281,166] #2.5.10.13.17"
,,,,,"[159,352,225,166] #2.5.11.13.17"
,,,,,"[159,352,79,66,80,92,156] #2.5.11.12.14.15.16.17 "
,,,,,"[132,264,281,166] #3.5.10.13.17"
,,,,,"[132,352,225,166] #3.5.11.13.17"
,,,,,"[132,352,79,66,80,92,156] #3.5.11.12.14.15.16.17"
10,5,800,200.0,4.0,"[240,240,160,160]"
10,6,800,160.0,5.0,"[160,160,160,160,160]"
10,7,800,133.3,6.0,"[160,160,160,160,80,80]"
10,8,800,114.3,7.0,"[160,160,160,80,80,80,80]"
10,9,800,100.0,8.0,"[160,160,80,80,80,80,80,80]"
10,10,800,88.9,9.0,"[160,80,80,80,80,80,80,80,80]"
10,11,800,80.0,10.0,"[80,80,80,80,80,80,80,80,80,80]"
11,5,880,220.0,4.0,"[240,240,240,160]"
11,6,880,176.0,5.0,"[160,160,160,160,240]"
11,7,880,146.7,6.0,"[160,160,160,160,160,80]"
11,8,880,125.7,7.0,"[160,160,160,160,80,80,80]"
11,9,880,110.0,8.0,"[160,160,160,80,80,80,80,80]"
11,10,880,97.8,9.0,"[160,160,80,80,80,80,80,80,80]"
11,11,880,88.0,10.0,"[160,80,80,80,80,80,80,80,80,80]"
12,5,960,240.0,4.0,"[240,240,240,240]"
12,6,960,192.0,5.0,"[240,240,160,160,160]"
12,7,960,160.0,6.0,"[160,160,160,160,160,160]"
12,8,960,137.1,7.0,"[160,160,160,80,80,160,160]"
12,9,960,120.0,8.0,"[160,160,80,80,80,80,160,160]"
12,10,960,106.7,9.0,"[160,80,80,80,80,80,80,160,160]"
12,11,960,96.0,10.0,"[80,80,80,80,80,80,80,80,160,160]"
13,5,1040,260.0,4.0,"[240,240,240,320]"
13,6,1040,208.0,5.0,"[160,160,240,240,240]"
13,7,1040,173.3,6.0,"[160,160,160,240,160,160]"
13,8,1040,148.6,7.0,"[160,160,160,80,160,160,160]"
13,9,1040,130.0,8.0,"[160,160,80,80,80,160,160,160]"
13,10,1040,115.6,9.0,"[160,80,80,80,80,80,160,160,160]"
13,11,1040,104.0,10.0,"[80,80,80,80,80,80,80,160,160,160]"
14,5,1120,280.0,4.0,"[240,240,320,320]"
14,6,1120,224.0,5.0,"[160,240,240,240,240]"
14,7,1120,186.7,6.0,"[160,160,160,240,240,160]"
14,8,1120,160.0,7.0,"[160,160,160,160,160,160,160]"
14,9,1120,140.0,8.0,"[160,160,160,80,80,160,160,160]"
14,10,1120,124.4,9.0,"[160,160,80,80,80,80,160,160,160]"
14,11,1120,112.0,10.0,"[80,80,80,80,80,80,160,160,160,160]"
