id;Length;l_amps;n_amps;OSNR80;OSNRCONSTRAINT;OSNRPOGGIO
1;919;14;8;22.058;21.002;20.995
2;938;15;10;21.52;20.322;20.317
3;961;14;8;22.058;20.904;20.896
4;993;15;6;22.222;21.712;21.699
5;1003;15;6;22.222;21.762;21.748
6;1012;16;8;21.664;20.922;20.912
7;826;12;7;22.699;21.487;21.479
8;923;14;8;22.058;21.079;21.07
9;946;15;9;21.685;20.715;20.708
10;870;13;5;22.89;22.473;22.458
11;902;13;5;22.89;22.279;22.265
12;984;14;8;22.058;20.799;20.791
13;843;13;5;22.89;22.667;22.651
14;875;13;5;22.89;22.464;22.449
15;957;14;8;22.058;20.93;20.922
16;800;10;5;23.711;22.029;22.023
17;800;10;6;23.451;21.588;21.583
18;800;10;7;23.205;21.187;21.184
19;800;10;8;22.973;20.82;20.818
20;800;10;9;22.752;20.482;20.48
21;800;10;10;22.542;20.168;20.167
22;800;10;11;22.342;19.875;19.875
23;880;11;5;23.42;21.832;21.824
24;880;11;6;23.176;21.409;21.404
25;880;11;7;22.945;21.024;21.02
26;880;11;8;22.726;20.67;20.667
27;880;11;9;22.517;20.343;20.341
28;880;11;10;22.318;20.038;20.037
29;880;11;11;22.127;19.754;19.753
30;960;12;5;23.147;21.643;21.635
31;960;12;6;22.917;21.238;21.231
32;960;12;7;22.699;20.867;20.862
33;960;12;8;22.492;20.525;20.521
34;960;12;9;22.294;20.208;20.205
35;960;12;10;22.104;19.913;19.911
36;960;12;11;21.923;19.636;19.635
37;1040;13;5;22.89;21.463;21.452
38;1040;13;6;22.673;21.073;21.065
39;1040;13;7;22.467;20.715;20.709
40;1040;13;8;22.27;20.384;20.38
41;1040;13;9;22.081;20.077;20.074
42;1040;13;10;21.901;19.79;19.788
43;1040;13;11;21.727;19.521;19.52
44;1120;14;5;22.647;21.289;21.278
45;1120;14;6;22.442;20.914;20.905
46;1120;14;7;22.246;20.568;20.562
47;1120;14;8;22.058;20.248;20.244
48;1120;14;9;21.879;19.95;19.947
49;1120;14;10;21.706;19.671;19.669
50;1120;14;11;21.54;19.409;19.407
