Index;Origin;Destination;length;slices;cost
1;1;5;10;180;1
2;1;16;358;180;7
3;1;31;223;180;5
4;2;12;278;180;5
5;2;14;10;180;1
6;2;16;199;180;8
7;3;7;602;180;6
8;3;9;10;180;1
9;3;14;220;180;2
10;3;18;10;180;2
11;4;5;934;180;5
12;4;11;10;180;1
13;5;15;227;180;3
14;5;22;333;180;3
15;6;9;10;180;2
16;6;18;10;180;6
17;6;22;315;180;9
18;7;26;601;180;7
19;8;10;618;180;2
20;8;25;10;180;1
21;9;26;583;180;5
22;10;19;211;180;9
23;11;32;331;180;4
24;12;17;406;180;4
25;12;24;10;180;0
26;13;30;289;180;9
27;13;32;476;180;3
28;14;24;278;180;6
29;15;31;10;180;5
30;15;32;510;180;9
31;16;18;143;180;7
32;17;20;206;180;6
33;19;27;258;180;8
34;19;29;158;180;3
35;20;24;190;180;0
36;21;28;283;180;7
37;21;31;555;180;1
38;22;27;506;180;0
39;23;28;319;180;1
40;23;30;10;180;3
41;25;26;691;180;3
42;26;29;244;180;2
