LinkS;TranspS;Instance;Demands;OF;Formulation;CD;OSNR;GNpy;Bands;Reinforcements;Cuts;Prepro
1.5x;random;German_17_26;40-b;NLUS;0;0;0;0;1;0;0;2;
1.5x;random;German_17_26;40-b;NLUS;3;0;0;0;1;0;0;2;
1.5x;random;German_17_26;25-b;NLUS;0;0;0;0;1;0;0;2;
1.5x;random;German_17_26;25-b;NLUS;3;0;0;0;1;0;0;2;
1.5x;random;German_17_26;15-b;NLUS;0;0;0;0;1;0;0;2;
1.5x;random;German_17_26;15-b;NLUS;3;0;0;0;1;0;0;2;
1.5x;random;German_17_26;30;NLUS;0;0;0;0;1;0;0;2;
1.5x;random;German_17_26;30;NLUS;3;0;0;0;1;0;0;2;
1.5x;random;German_17_26;10-b;NLUS;0;0;0;0;1;0;0;2;
1.5x;random;German_17_26;10-b;NLUS;3;0;0;0;1;0;0;2;
1.5x;random;German_17_26;10;NLUS;0;0;0;0;1;0;0;2;
1.5x;random;German_17_26;10;NLUS;3;0;0;0;1;0;0;2;
1.5x;random;German_17_26;35-b;NLUS;0;0;0;0;1;0;0;2;
1.5x;random;German_17_26;35-b;NLUS;3;0;0;0;1;0;0;2;
1.5x;random;German_17_26;35;NLUS;0;0;0;0;1;0;0;2;
1.5x;random;German_17_26;35;NLUS;3;0;0;0;1;0;0;2;
1.5x;random;German_17_26;15;NLUS;0;0;0;0;1;0;0;2;
1.5x;random;German_17_26;15;NLUS;3;0;0;0;1;0;0;2;
1.5x;random;German_17_26;25;NLUS;0;0;0;0;1;0;0;2;
1.5x;random;German_17_26;25;NLUS;3;0;0;0;1;0;0;2;
1.5x;random;German_17_26;20-b;NLUS;0;0;0;0;1;0;0;2;
1.5x;random;German_17_26;20-b;NLUS;3;0;0;0;1;0;0;2;
1.5x;random;German_17_26;30-b;NLUS;0;0;0;0;1;0;0;2;
1.5x;random;German_17_26;30-b;NLUS;3;0;0;0;1;0;0;2;
1.5x;random;German_17_26;40;NLUS;0;0;0;0;1;0;0;2;
1.5x;random;German_17_26;40;NLUS;3;0;0;0;1;0;0;2;
1.5x;random;German_17_26;20;NLUS;0;0;0;0;1;0;0;2;
1.5x;random;German_17_26;20;NLUS;3;0;0;0;1;0;0;2;
