Index;Origin;Destination;length;slices;cost
1;1;2;135;60;0
2;1;3;290;60;0
3;1;4;142;60;0
4;2;3;176;60;0
5;2;12;313;60;0
6;3;6;152;60;0
7;4;5;157;60;0
8;4;6;267;60;0
9;5;8;143;60;0
10;5;25;110;60;0
11;5;27;263;60;0
12;6;9;114;60;0
13;6;10;102;60;0
14;6;12;111;60;0
15;7;8;52;60;0
16;7;9;89;60;0
17;7;20;138;60;0
18;7;25;110;60;0
19;8;9;99;60;0
20;9;10;107;60;0
21;9;18;194;60;0
22;10;11;114;60;0
23;10;16;126;60;0
24;11;12;101;60;0
25;11;13;154;60;0
26;11;16;142;60;0
27;13;14;214;60;0
28;13;15;145;60;0
29;13;16;133;60;0
30;14;15;84;60;0
31;14;17;193;60;0
32;15;17;133;60;0
33;16;17;129;60;0
34;17;18;140;60;0
35;17;19;154;60;0
36;18;19;81;60;0
37;18;20;129;60;0
38;19;20;142;60;0
39;19;21;102;60;0
40;20;21;137;60;0
41;20;26;156;60;0
42;21;22;119;60;0
43;22;23;130;60;0
44;22;24;141;60;0
45;23;24;152;60;0
46;23;26;92;60;0
47;23;28;114;60;0
48;24;30;224;60;0
49;25;26;156;60;0
50;25;27;226;60;0
51;25;28;223;60;0
52;27;28;197;60;0
53;27;28;155;60;0
54;28;29;125;60;0
55;28;30;156;60;0
56;29;30;129;60;0
