Index;Origin;Destination;length;slices;cost;lineAmps;pnliC;paseC;pnliL;paseL;pnliS;paseS
1;1;2;135;50;0;2;4.605918886335536e-08;2.1734263648154598e-07;3.0429359483779314e-08;3.29464068377266e-07;7.506642295351235e-08;4.93490589648009e-07
2;1;3;290;50;0;4;9.389862364753245e-08;5.524988766351696e-07;6.178387872075931e-08;8.552916537833238e-07;1.5241512967873372e-07;1.2811059628609803e-06
3;1;4;142;50;0;2;4.670259418546926e-08;2.5713268852410374e-07;3.076489949865375e-08;3.955390825977662e-07;7.589416921901684e-08;5.924616182317294e-07
4;2;3;176;50;0;3;6.58836180769281e-08;2.1196027367716423e-07;4.391721581398932e-08;3.0987843046689106e-07;1.0833972036088856e-07;4.641540733819752e-07
5;2;12;313;50;0;4;9.55126646837662e-08;7.261599070407689e-07;6.260065244638662e-08;1.1520360759266884e-06;1.5443003511826288e-07;1.725587148865759e-06
6;3;6;152;50;0;2;4.746492004062752e-08;3.2634214597057323e-07;3.1154208416337336e-08;5.127669343393389e-07;7.68545584079509e-08;7.680523646340767e-07
7;4;5;157;50;0;2;4.7786938380142725e-08;3.6740189478623976e-07;3.131557689986645e-08;5.835013429631536e-07;7.725263957171713e-08;8.740025072159324e-07
8;4;6;267;50;0;4;9.181589979179814e-08;4.1923808969902113e-07;6.069931541225333e-08;6.33531984967487e-07;1.497396120399359e-07;9.489413348240314e-07
9;5;8;143;50;0;2;4.6786661092188626e-08;2.633587879512906e-07;3.080829366066597e-08;4.0597143258694204e-07;7.60012186138968e-08;6.080878034267644e-07
10;5;25;110;50;0;2;4.2767999185785665e-08;1.1777314019228181e-07;2.8636632842178355e-08;1.6967686336231096e-07;7.064393169502289e-08;2.5415194974891346e-07
11;5;27;263;50;0;4;9.139682111422789e-08;3.9945451237117667e-07;6.047748306779581e-08;6.0113706095792e-07;1.491923721086224e-07;9.004183191585487e-07
12;6;9;114;50;0;2;4.34198799181392e-08;1.3011611787993946e-07;2.9000395598477665e-08;1.8895727300970454e-07;7.154130086027448e-08;2.8303127723494517e-07
13;6;10;102;50;0;2;4.1288187279089186e-08;9.624976908308769e-08;2.779752916548185e-08;1.365100887006598e-07;6.857394032598588e-08;2.0447281094292193e-07
14;6;12;111;50;0;2;4.293616782946556e-08;1.2075313873592623e-07;2.8730836592968106e-08;1.7431541236067954e-07;7.087632365859215e-08;2.610998402778888e-07
15;7;8;52;50;0;1;2.0840760690518994e-08;5.0632407011956625e-08;1.4011138002766643e-08;7.209138332706224e-08;3.4564185024544e-08;1.0798269881702058e-07
16;7;9;89;50;0;2;3.830176738574797e-08;6.872206413011376e-08;2.605502564619038e-08;9.508399139292585e-08;6.427534487750648e-08;1.4242237464526807e-07
17;7;20;138;50;0;2;4.634712260180383e-08;2.336136293975753e-07;3.058024529051967e-08;3.5635440687716385e-07;7.54386443205934e-08;5.337685145443703e-07
18;7;25;110;50;0;2;4.2767999185785665e-08;1.1777314019228181e-07;2.8636632842178355e-08;1.6967686336231096e-07;7.064393169502289e-08;2.5415194974891346e-07
