index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;1;2;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
2;1;2;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
3;1;2;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
4;1;2;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
5;1;2;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
6;1;3;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
7;1;3;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
8;1;3;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
9;1;3;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
10;1;3;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
11;1;4;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
12;1;4;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
13;1;4;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
14;1;4;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
15;1;4;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
16;1;4;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
17;1;4;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
18;1;4;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
19;1;5;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
20;1;5;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
21;1;5;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
22;1;5;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
23;1;5;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
24;1;5;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
25;1;5;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
26;1;5;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
27;1;5;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
28;1;5;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
29;1;5;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
30;1;6;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
31;1;6;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
32;1;6;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
33;1;6;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
34;1;6;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
35;1;6;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
36;1;6;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
37;1;6;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
38;1;6;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
39;1;6;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
40;1;6;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
41;1;6;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
42;1;6;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
43;2;3;3;10000;22;4;0;0;0;0;200;0.000375;0;0;
44;2;3;3;10000;22;4;0;0;0;0;200;0.000375;0;0;
45;2;3;3;10000;22;4;0;0;0;0;200;0.000375;0;0;
46;2;3;3;10000;22;4;0;0;0;0;200;0.000375;0;0;
47;2;3;3;10000;22;4;0;0;0;0;200;0.000375;0;0;
48;2;4;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
49;2;4;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
50;2;4;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
51;2;4;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
52;2;4;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
53;2;4;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
54;2;4;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
55;2;5;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
56;2;5;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
57;2;5;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
58;2;5;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
59;2;5;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
60;2;5;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
61;2;5;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
62;2;5;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
63;2;5;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
64;2;6;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
65;2;6;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
66;2;6;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
67;2;6;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
68;2;6;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
69;2;6;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
70;2;6;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
71;2;6;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
72;2;6;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
73;2;6;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
74;2;6;6;40000;21;6;0;0;0;0;300;0.00075;0;0;
75;3;4;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
76;3;4;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
77;3;4;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
78;3;4;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
79;3;4;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
80;3;5;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
81;3;5;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
82;3;5;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
83;3;5;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
84;3;5;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
85;3;5;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
86;3;5;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
87;3;6;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
88;3;6;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
89;3;6;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
90;3;6;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
91;3;6;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
92;3;6;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
93;3;6;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
94;3;6;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
95;4;5;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
96;4;5;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
97;4;5;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
98;4;5;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
99;4;5;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
100;4;6;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
101;4;6;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
102;4;6;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
103;4;6;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
104;4;6;3;40000;15;1;0;0;0;0;100;0.000375;0;0;
105;5;6;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
106;5;6;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
107;5;6;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
108;5;6;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
109;5;6;6;20000;24;7;0;0;0;0;400;0.00075;0;0;
