index;origin;destination;slots;max_length;
1;2;4;6;1000;
2;2;11;6;1000;
3;2;17;6;2000;
4;4;11;6;1000;
5;4;17;6;2000;
6;11;17;6;1000;
7;1;17;4;1000;
8;1;4;4;1000;
9;1;2;3;500;
10;3;11;4;1000;
11;2;3;3;500;
12;3;4;3;500;
13;2;5;3;500;
14;5;11;3;500;
15;4;5;3;500;
16;6;17;4;1000;
17;2;6;4;1000;
18;6;11;4;1000;
19;2;7;4;1000;
20;4;7;4;1000;
21;7;11;3;500;
22;4;8;4;1000;
23;8;11;3;500;
24;2;8;4;1000;
25;9;11;3;500;
26;2;9;3;500;
27;4;9;4;1000;
28;2;10;4;1000;
29;10;17;3;500;
30;10;11;3;500;
31;11;12;3;500;
32;4;12;4;1000;
33;2;12;4;1000;
34;11;13;3;500;
35;13;17;3;500;
36;2;13;4;1000;
37;14;17;4;1000;
38;4;14;4;1000;
39;11;14;3;500;
40;4;15;4;1000;
41;11;15;4;1000;
42;15;17;3;500;
43;4;16;4;1000;
44;16;17;3;500;
45;2;16;4;1000;
