index;origin;destination;slice;max_length;osnr_limit;pchC;pchL;pchS
1;2;8;3;100000;16;0.000375;0.000375;0.000375
2;2;10;2;100000;14;0.00025;0.00025;0.00025
3;4;9;3;100000;16;0.000375;0.000375;0.000375
4;4;27;10;100000;21;0.00125;0.00125;0.00125
5;4;32;5;100000;24;0.000625;0.000625;0.000625
6;6;11;10;100000;21;0.00125;0.00125;0.00125
7;7;17;8;100000;21;0.001;0.001;0.001
8;7;21;4;100000;16;0.0005;0.0005;0.0005
9;7;32;9;100000;20;0.001125;0.001125;0.001125
10;8;32;2;100000;12;0.00025;0.00025;0.00025
11;9;13;3;100000;15;0.000375;0.000375;0.000375
12;11;18;3;100000;16;0.000375;0.000375;0.000375
13;11;32;2;100000;21;0.00025;0.00025;0.00025
14;12;21;8;100000;20;0.001;0.001;0.001
15;17;24;10;100000;26;0.00125;0.00125;0.00125
16;19;26;6;100000;24;0.00075;0.00075;0.00075
17;26;32;9;100000;20;0.001125;0.001125;0.001125
