index;origin;destination;slots;max_length
1;1;16;6;1000
2;2;16;6;1000
3;3;16;6;1000
4;1;16;6;1000
5;2;16;6;1000
6;3;16;6;1000
7;1;16;6;1000
8;2;16;6;1000
9;3;16;6;1000
10;1;16;6;1000
11;2;16;6;1000
12;3;16;6;1000
13;1;16;6;1000
14;2;16;6;1000
15;3;16;6;1000
16;1;17;6;1000
17;2;17;6;1000
18;3;17;6;1000
19;1;17;6;1000
20;2;17;6;1000
21;3;17;6;1000
22;1;17;6;1000
23;2;17;6;1000
24;3;17;6;1000
25;1;17;6;1000
26;2;17;6;1000
27;3;17;6;1000
28;1;17;6;1000
29;2;17;6;1000
30;3;17;6;1000
31;8;10;6;1000
32;8;10;6;1000
33;8;10;6;1000
34;8;10;6;1000
35;8;10;6;1000
