Index;Origin;Destination;length;slices;cost;lineAmps;pnliC;paseC;pnliL;paseL;pnliS;paseS
1;1;2;447;90;0;6;1.4176120994641526e-07;9.116457701394641e-07;9.31420194988026e-08;1.4232955907380544e-06;2.50056863917948e-07;2.1318955471418576e-06
2;1;3;304;90;0;4;9.492984008125504e-08;6.526842919411465e-07;6.230841683267467e-08;1.0255338686786777e-06;1.6744960142428033e-07;1.5361047292681534e-06
3;2;4;568;90;0;8;1.8681037674187704e-07;1.028530754096415e-06;1.23059597994615e-07;1.5821563303910648e-06;3.295204447892439e-07;2.3698464729269177e-06
4;2;3;434;90;0;6;1.407681046748627e-07;8.221786857661726e-07;9.263484976729568e-08;1.2718702618699192e-06;2.483050956462277e-07;1.9050818153779105e-06
5;3;5;443;90;0;6;1.4146575926396856e-07;8.831607298224154e-07;9.299170885879703e-08;1.374920940773168e-06;2.495357095688636e-07;2.0594371614588036e-06
6;4;5;273;90;0;4;9.241105917973364e-08;4.5067530371615515e-07;6.101237744846679e-08;6.853077190264439e-07;1.6300664800021644e-07;1.0264940635815574e-06
7;4;6;462;90;0;6;1.4279418020653034e-07;1.0266033316550588e-06;9.36635012689418e-08;1.6199718690930147e-06;2.51878951242559e-07;2.426488802950333e-06
8;5;7;230;90;0;3;7.133150848566594e-08;5.052501548669634e-07;4.679882312235255e-08;7.961436098381056e-07;1.258237942325997e-07;1.192510556306272e-06
9;6;8;233;90;0;3;7.152535848132409e-08;5.297802606788931e-07;4.6895994196828365e-08;8.383817605608851e-07;1.261657320730224e-07;1.2557773337988562e-06
10;6;7;348;90;0;5;1.1614269304557537e-07;6.011083192428185e-07;7.659389821213753e-08;9.192396369656119e-07;2.0486759107755376e-07;1.376890999702363e-06
11;7;9;467;90;0;6;1.4311366510121633e-07;1.0679591334668889e-06;9.382345129979972e-08;1.6912636489086843e-06;2.524425002618185e-07;2.533273808767735e-06
12;7;8;302;90;0;4;9.479217680627998e-08;6.37364740562665e-07;6.223892756869634e-08;9.993271803223649e-07;1.6720677303116805e-07;1.4968508156217362e-06
13;8;9;93;90;0;2;3.93049703238705e-08;7.633268248041125e-08;2.664710077839208e-08;1.0641102677318196e-07;6.933121986818656e-08;1.5938867205153221e-07
