 index	; origin ; destination; slots ; max_length ; 
1; 1 ; 2; 3 ; 20000;
2; 1 ; 3; 3 ; 20000;
3; 1 ; 4; 2 ; 20000;
4; 1 ; 5; 2 ; 20000;
5; 1 ; 6; 3 ; 20000;
6; 2 ; 1; 2 ; 20000;
7; 2 ; 3; 1 ; 20000;
8; 2 ; 4; 1 ; 20000;
9; 2 ; 5; 2 ; 20000;
10; 2 ; 6; 3 ; 20000;
11; 3 ; 1; 3 ; 20000;
12; 3 ; 2; 3 ; 20000;
13; 3 ; 4; 2 ; 20000;
14; 3 ; 5; 1 ; 20000;
15; 3 ; 6; 2 ; 20000;
16; 4 ; 1; 3 ; 20000;
17; 4 ; 2; 2 ; 20000;
18; 4 ; 3; 3 ; 20000;
19; 4 ; 5; 1 ; 20000;
20; 4 ; 6; 1 ; 20000;
21; 5 ; 1; 1 ; 20000;
22; 5 ; 2; 1 ; 20000;
23; 5 ; 3; 3 ; 20000;
24; 5 ; 4; 1 ; 20000;
25; 5 ; 6; 2 ; 20000;
26; 6 ; 1; 2 ; 20000;
27; 6 ; 2; 1 ; 20000;
28; 6 ; 3; 3 ; 20000;
29; 6 ; 4; 3 ; 20000;
30; 6 ; 5; 3 ; 20000;
