Demand;Path;Distance;max_lengthC lim;max_lengthL lim;osnrC val;osnrC lim;osnrL val;osnrL lim
1;1-4-;300;2000;2000;24.9817;21;23.8693;21;
1;1-3-4-;600;2000;2000;21.6993;21;20.4488;21;
1;1-2-4-;600;2000;2000;23.6386;21;22.6089;21;
2;1-4-;300;2000;2000;24.9817;21;23.8693;21;
2;1-3-4-;600;2000;2000;21.6993;21;20.4488;21;
2;1-2-4-;600;2000;2000;23.6386;21;22.6089;21;
3;1-4-;300;2000;2000;24.9817;21;23.8693;21;
3;1-3-4-;600;2000;2000;21.6993;21;20.4488;21;
3;1-2-4-;600;2000;2000;23.6386;21;22.6089;21;
4;1-4-;300;2000;2000;24.9817;21;23.8693;21;
4;1-3-4-;600;2000;2000;21.6993;21;20.4488;21;
4;1-2-4-;600;2000;2000;23.6386;21;22.6089;21;
5;1-4-;300;2000;2000;24.9817;21;23.8693;21;
5;1-3-4-;600;2000;2000;21.6993;21;20.4488;21;
5;1-2-4-;600;2000;2000;23.6386;21;22.6089;21;
6;1-4-;300;2000;2000;24.9817;21;23.8693;21;
6;1-3-4-;600;2000;2000;21.6993;21;20.4488;21;
6;1-2-4-;600;2000;2000;23.6386;21;22.6089;21;
