index;origin;destination;slots;max_length;slots;max_length;osnr_limit;pch;pch
1;2;4;6;1000;3;2000;15;0.00075;0.00075
2;2;11;6;1000;3;2000;15;0.00075;0.00075
3;2;17;6;2000;3;2000;15;0.00075;0.00075
4;4;11;6;1000;3;2000;15;0.00075;0.00075
5;4;17;6;2000;3;2000;15;0.00075;0.00075
6;11;17;6;1000;3;2000;15;0.00075;0.00075
7;1;4;4;1000;3;2000;15;0.0005;0.0005
8;1;11;4;1000;3;2000;15;0.0005;0.0005
9;1;2;3;500;3;2000;15;0.000375;0.000375
10;2;3;3;500;3;2000;15;0.000375;0.000375
11;3;4;3;500;3;2000;15;0.000375;0.000375
12;3;11;4;1000;3;2000;15;0.0005;0.0005
13;4;5;3;500;3;2000;15;0.000375;0.000375
14;5;17;4;1000;3;2000;15;0.0005;0.0005
15;5;11;3;500;3;2000;15;0.000375;0.000375
16;6;11;4;1000;3;2000;15;0.0005;0.0005
17;4;6;4;1000;3;2000;15;0.0005;0.0005
18;6;17;4;1000;3;2000;15;0.0005;0.0005
19;2;7;4;1000;3;2000;15;0.0005;0.0005
20;7;11;3;500;3;2000;15;0.000375;0.000375
21;7;17;4;1000;3;2000;15;0.0005;0.0005
22;8;11;3;500;3;2000;15;0.000375;0.000375
23;4;8;4;1000;3;2000;15;0.0005;0.0005
24;2;8;4;1000;3;2000;15;0.0005;0.0005
25;4;9;4;1000;3;2000;15;0.0005;0.0005
26;9;11;3;500;3;2000;15;0.000375;0.000375
27;2;9;3;500;3;2000;15;0.000375;0.000375
28;2;10;4;1000;3;2000;15;0.0005;0.0005
29;10;17;3;500;3;2000;15;0.000375;0.000375
30;4;10;3;500;3;2000;15;0.000375;0.000375
31;11;12;3;500;3;2000;15;0.000375;0.000375
32;2;12;4;1000;3;2000;15;0.0005;0.0005
33;12;17;4;1000;3;2000;15;0.0005;0.0005
34;4;13;4;1000;3;2000;15;0.0005;0.0005
35;13;17;3;500;3;2000;15;0.000375;0.000375
36;2;13;4;1000;3;2000;15;0.0005;0.0005
37;4;14;4;1000;3;2000;15;0.0005;0.0005
38;2;14;4;1000;3;2000;15;0.0005;0.0005
39;14;17;4;1000;3;2000;15;0.0005;0.0005
40;2;15;4;1000;3;2000;15;0.0005;0.0005
41;11;15;4;1000;3;2000;15;0.0005;0.0005
42;4;15;4;1000;3;2000;15;0.0005;0.0005
43;4;16;4;1000;3;2000;15;0.0005;0.0005
44;16;17;3;500;3;2000;15;0.000375;0.000375
45;11;16;4;1000;3;2000;15;0.0005;0.0005
