Path;Distance;max_lengthC;osnrC;osnrC val;osnrL;osnrL val;osnrS;osnrS val;max_lengthL;max_lengthC;
1-8-7-5-4-2-;5900;no;yes;16,0221;no;14,4946;no;12,5899;no;no;
1-3-2-;2200;yes;yes;20,0778;yes;18,6028;yes;16,7039;no;no;
1-2-;1100;yes;yes;22,8165;yes;21,4085;yes;19,516;yes;yes;
1-3-;1600;yes;yes;21,4028;yes;19,8731;yes;17,9796;yes;no;
1-2-4-5-6-3-;5800;no;yes;16,1172;no;14,602;no;12,6958;no;no;
1-2-3-;1700;yes;yes;21,0729;yes;19,6946;yes;17,7948;yes;no;
1-8-7-5-4-;4900;no;yes;16,7875;no;15,2494;no;13,347;no;no;
1-3-6-5-4-;5300;no;yes;16,493;no;14,9409;no;13,0375;no;no;
1-3-2-4-;3200;no;yes;18,5822;yes;17,108;no;15,2039;no;no;
1-2-4-;2100;yes;yes;20,3309;yes;18,8948;yes;16,9917;no;no;
1-2-3-6-5-4-;5400;no;yes;16,3837;no;14,8828;no;12,9774;no;no;
1-8-7-5-;4300;yes;yes;14,3485;no;12,7803;no;10,8795;no;no;
1-3-6-5-;4700;yes;yes;14,0141;no;12,4325;no;10,5305;no;no;
1-3-2-4-5-;3800;yes;yes;14,8298;yes;13,3798;no;11,4741;yes;no;
1-2-4-5-;2700;yes;yes;16,2528;yes;14,8422;no;12,9366;yes;yes;
1-2-3-6-5-;4800;yes;yes;13,8908;no;12,3673;no;10,463;no;no;
1-8-9-10-6-;5600;no;yes;13,3005;no;11,7463;no;9,84073;no;no;
1-8-7-5-6-;5400;no;yes;13,3861;no;11,8238;no;9,92166;no;no;
1-3-6-;3600;yes;yes;15,1476;yes;13,553;no;11,6527;yes;no;
1-3-2-4-5-6-;4900;yes;yes;13,7673;no;12,2981;no;10,3919;no;no;
1-2-4-5-6-;3800;yes;yes;14,8395;yes;13,3931;no;11,4869;yes;no;
1-2-3-6-;3700;yes;yes;14,9882;yes;13,4688;no;11,5656;yes;no;
1-8-7-;3500;yes;yes;15,3016;yes;13,724;no;11,8215;yes;no;
1-3-6-5-7-;5500;no;yes;13,2863;no;11,7127;no;9,81193;no;no;
1-3-2-4-5-7-;4600;yes;yes;13,9657;no;12,5012;no;10,5977;no;no;
1-2-4-5-7-;3500;yes;yes;15,0951;yes;13,6563;no;11,7536;yes;no;
1-2-3-6-5-7-;5600;no;yes;13,1818;no;11,6573;no;9,75472;no;no;
1-8-;2800;yes;yes;16,3215;yes;14,707;no;12,8046;yes;yes;
1-3-2-4-5-7-8-;5300;no;yes;13,3441;no;11,8835;no;9,98006;no;no;
1-2-4-5-7-8-;4200;yes;yes;14,3048;no;12,8666;no;10,9638;no;no;
1-8-9-;3500;yes;yes;15,3016;yes;13,724;no;11,8215;yes;no;
1-3-6-10-9-;5700;no;yes;13,2027;no;11,6371;no;9,733;no;no;
1-2-4-11-14-9-;5800;no;yes;13,0948;no;11,5756;no;9,66998;no;no;
1-2-4-11-12-9-;5800;no;yes;13,0948;no;11,5756;no;9,66998;no;no;
1-2-4-5-7-8-9-;4900;yes;yes;13,6365;no;12,1987;no;10,2958;no;no;
1-2-4-5-6-10-9-;5900;no;yes;13,0034;no;11,5336;no;9,62573;no;no;
1-2-3-6-10-9-;5800;no;yes;13,1002;no;11,5827;no;9,67682;no;no;
1-8-9-10-;4400;yes;yes;14,3677;no;12,8248;no;10,9177;no;no;
1-3-6-10-;4800;yes;yes;13,8982;no;12,3036;no;10,4033;no;no;
1-2-4-5-6-10-;5000;yes;yes;13,6651;no;12,1832;no;10,2784;no;no;
1-2-3-6-10-;4900;yes;yes;13,7781;no;12,2403;no;10,3378;no;no;
1-8-9-14-13-12-11-;5400;no;yes;13,2353;no;11,7573;no;9,85586;no;no;
1-8-9-14-11-;4800;yes;yes;13,8755;no;12,3468;no;10,4433;no;no;
1-8-9-12-13-14-11-;5400;no;yes;13,2353;no;11,7573;no;9,85586;no;no;
1-8-9-12-11-;4800;yes;yes;13,8755;no;12,3468;no;10,4433;no;no;
1-3-2-4-11-;5600;no;yes;13,3015;no;11,7476;no;9,84196;no;no;
1-2-4-11-;4500;yes;yes;14,2517;no;12,6969;no;10,7913;no;no;
1-8-9-14-13-12-;4600;yes;yes;13,9539;no;12,4853;no;10,5823;no;no;
1-8-9-14-11-12-;5600;no;yes;13,1688;no;11,6399;no;9,73795;no;no;
1-8-9-12-;4000;yes;yes;14,72;yes;13,1915;no;11,2859;yes;no;
1-3-6-13-12-;5900;no;yes;13,0184;no;11,4331;no;9,53153;no;no;
1-2-4-11-12-;5300;no;yes;13,4864;no;11,9356;no;10,032;no;no;
1-2-4-5-7-8-9-12-;5400;no;yes;13,2318;no;11,8172;no;9,91212;no;no;
1-8-9-14-13-;4300;yes;yes;14,3201;no;12,824;no;10,9199;no;no;
1-8-9-12-13-;4300;yes;yes;14,3201;no;12,824;no;10,9199;no;no;
1-3-6-13-;5600;no;yes;13,3112;no;11,6967;no;9,79428;no;no;
1-2-4-11-14-13-;5600;no;yes;13,182;no;11,6575;no;9,75492;no;no;
1-2-4-11-12-13-;5600;no;yes;13,182;no;11,6575;no;9,75492;no;no;
1-2-4-5-6-13-;5800;no;yes;13,1069;no;11,5917;no;9,68549;no;no;
1-2-3-6-13-;5700;no;yes;13,2061;no;11,6416;no;9,7373;no;no;
1-8-9-14-;4000;yes;yes;14,72;yes;13,1915;no;11,2859;yes;no;
1-8-9-12-13-14-;4600;yes;yes;13,9539;no;12,4853;no;10,5823;no;no;
1-8-9-12-11-14-;5600;no;yes;13,1688;no;11,6399;no;9,73795;no;no;
1-3-6-13-14-;5900;no;yes;13,0184;no;11,4331;no;9,53153;no;no;
1-2-4-11-14-;5300;no;yes;13,4864;no;11,9356;no;10,032;no;no;
1-2-4-5-7-8-9-14-;5400;no;yes;13,2318;no;11,8172;no;9,91212;no;no;
2-3-;600;yes;yes;23,1155;yes;21,9713;yes;20,0838;yes;yes;
2-1-3-;2700;no;yes;17,5213;no;15,9884;no;14,0893;no;no;
2-4-;1000;yes;yes;21,51;yes;20,1748;yes;18,2766;no;no;
2-4-5-;1600;yes;yes;21,3718;yes;20,0428;yes;18,1386;yes;no;
2-3-6-5-;3700;no;yes;17,9985;yes;16,4791;no;14,5759;no;no;
2-1-8-7-5-;5400;no;yes;16,3964;no;14,8341;no;12,932;no;no;
2-1-3-6-5-;5800;no;yes;16,1264;no;14,5529;no;12,6498;no;no;
2-4-5-6-;2700;yes;yes;16,2528;yes;14,8422;no;12,9366;yes;yes;
2-3-6-;2600;yes;yes;16,46;yes;14,9482;yes;13,0469;yes;yes;
2-1-3-6-;4700;yes;yes;14,0141;no;12,4325;no;10,5305;no;no;
2-4-5-7-;2400;yes;yes;19,6212;yes;18,2246;yes;16,3241;no;no;
2-3-6-5-7-;4500;no;yes;17,1054;no;15,5841;no;13,6827;no;no;
2-3-1-8-7-;5700;no;yes;16,2156;no;14,6508;no;12,7466;no;no;
2-1-8-7-;4600;no;yes;17,1426;no;15,5743;no;13,6705;no;no;
2-4-11-14-9-8-;5400;no;yes;13,3634;no;11,8591;no;9,9542;no;no;
2-4-11-12-9-8-;5400;no;yes;13,3634;no;11,8591;no;9,9542;no;no;
2-4-5-7-8-;3100;yes;yes;15,5288;yes;14,1237;no;12,2226;yes;yes;
2-4-5-6-10-9-8-;5500;no;yes;13,2662;no;11,8142;no;9,90697;no;no;
2-3-6-10-9-8-;5400;no;yes;13,3691;no;11,8667;no;9,9615;no;no;
2-3-6-5-7-8-;5200;no;yes;13,456;no;11,9464;no;10,0447;no;no;
2-3-1-8-;5000;yes;yes;13,8059;no;12,2223;no;10,3179;no;no;
2-1-8-;3900;yes;yes;14,889;yes;13,2958;no;11,3919;yes;no;
2-4-11-14-13-12-9-;5300;no;yes;13,3322;no;11,8674;no;9,96451;no;no;
2-4-11-14-9-;4700;yes;yes;13,988;no;12,4731;no;10,5679;no;no;
2-4-11-12-13-14-9-;5300;no;yes;13,3322;no;11,8674;no;9,96451;no;no;
2-4-11-12-9-;4700;yes;yes;13,988;no;12,4731;no;10,5679;no;no;
2-4-5-7-8-9-;3800;yes;yes;14,6633;yes;13,2527;no;11,3512;yes;no;
2-4-5-6-13-14-9-;5500;no;yes;13,2545;no;11,7983;no;9,89168;no;no;
2-4-5-6-13-12-9-;5500;no;yes;13,2545;no;11,7983;no;9,89168;no;no;
2-4-5-6-10-9-;4800;yes;yes;13,8759;no;12,4214;no;10,5136;no;no;
2-3-6-13-14-9-;5400;no;yes;13,3571;no;11,8506;no;9,94602;no;no;
2-3-6-13-12-9-;5400;no;yes;13,3571;no;11,8506;no;9,94602;no;no;
2-3-6-10-9-;4700;yes;yes;13,9946;no;12,4818;no;10,5763;no;no;
2-3-1-8-9-;5700;no;yes;13,2053;no;11,6405;no;9,7363;no;no;
2-1-8-9-;4600;yes;yes;14,1323;no;12,564;no;10,6602;no;no;
2-4-11-14-9-10-;5600;no;yes;13,2791;no;11,782;no;9,8737;no;no;
2-4-11-12-9-10-;5600;no;yes;13,2791;no;11,782;no;9,8737;no;no;
2-4-5-7-8-9-10-;4700;yes;yes;13,8458;no;12,4378;no;10,532;no;no;
2-4-5-6-10-;3900;yes;yes;14,6997;yes;13,2329;no;11,329;yes;no;
2-3-6-10-;3800;yes;yes;14,8435;yes;13,3058;no;11,4048;yes;no;
2-1-8-9-10-;5500;no;yes;13,4014;no;11,8595;no;9,95225;no;no;
2-1-3-6-10-;5900;no;yes;13,0216;no;11,4373;no;9,53563;no;no;
2-4-11-;3400;yes;yes;15,4586;yes;13,8984;no;11,9936;yes;no;
2-4-5-7-8-9-14-11-;5100;no;yes;13,4066;no;11,9986;no;10,096;no;no;
2-4-5-7-8-9-12-11-;5100;no;yes;13,4066;no;11,9986;no;10,096;no;no;
2-3-6-13-14-11-;5700;no;yes;13,0826;no;11,5449;no;9,64389;no;no;
2-3-6-13-12-11-;5700;no;yes;13,0826;no;11,5449;no;9,64389;no;no;
2-1-8-9-14-11-;5900;no;yes;13,0031;no;11,4726;no;9,56837;no;no;
2-1-8-9-12-11-;5900;no;yes;13,0031;no;11,4726;no;9,56837;no;no;
2-4-11-14-13-12-;4800;yes;yes;13,7468;no;12,2535;no;10,3531;no;no;
2-4-11-14-9-12-;5200;no;yes;13,5508;no;12,0678;no;10,1605;no;no;
2-4-11-12-;4200;yes;yes;14,4741;no;12,9201;no;11,0175;no;no;
2-4-5-7-8-9-14-13-12-;4900;yes;yes;13,4769;no;12,1262;no;10,2242;no;no;
2-4-5-7-8-9-12-;4300;yes;yes;14,1568;no;12,772;no;10,8676;no;no;
2-4-5-6-13-12-;5000;yes;yes;13,6614;no;12,1781;no;10,2735;no;no;
2-4-5-6-10-9-12-;5300;no;yes;13,4493;no;12,0207;no;10,111;no;no;
2-3-6-13-12-;4900;yes;yes;13,7743;no;12,2352;no;10,3329;no;no;
2-3-6-10-9-12-;5200;no;yes;13,5568;no;12,0758;no;10,1682;no;no;
2-1-8-9-14-13-12-;5700;no;yes;13,0671;no;11,5855;no;9,6817;no;no;
2-1-8-9-12-;5100;no;yes;13,6811;no;12,1506;no;10,2445;no;no;
2-4-11-14-13-;4500;yes;yes;14,0953;no;12,574;no;10,6726;no;no;
2-4-11-14-9-12-13-;5500;no;yes;13,242;no;11,7814;no;9,87542;no;no;
2-4-11-12-13-;4500;yes;yes;14,0953;no;12,574;no;10,6726;no;no;
2-4-11-12-9-14-13-;5500;no;yes;13,242;no;11,7814;no;9,87542;no;no;
2-4-5-7-8-9-14-13-;4600;yes;yes;13,8036;no;12,4371;no;10,534;no;no;
2-4-5-7-8-9-12-13-;4600;yes;yes;13,8036;no;12,4371;no;10,534;no;no;
2-4-5-6-13-;4700;yes;yes;14,0028;no;12,4929;no;10,587;no;no;
2-4-5-6-10-9-14-13-;5600;no;yes;13,1474;no;11,7374;no;9,82903;no;no;
2-4-5-6-10-9-12-13-;5600;no;yes;13,1474;no;11,7374;no;9,82903;no;no;
2-3-6-13-;4600;yes;yes;14,125;no;12,5543;no;10,6509;no;no;
2-3-6-10-9-14-13-;5500;no;yes;13,2475;no;11,7889;no;9,88258;no;no;
2-3-6-10-9-12-13-;5500;no;yes;13,2475;no;11,7889;no;9,88258;no;no;
2-1-8-9-14-13-;5400;no;yes;13,3632;no;11,8589;no;9,95399;no;no;
2-1-8-9-12-13-;5400;no;yes;13,3632;no;11,8589;no;9,95399;no;no;
2-4-11-14-;4200;yes;yes;14,4741;no;12,9201;no;11,0175;no;no;
2-4-11-12-13-14-;4800;yes;yes;13,7468;no;12,2535;no;10,3531;no;no;
2-4-11-12-9-14-;5200;no;yes;13,5508;no;12,0678;no;10,1605;no;no;
2-4-5-7-8-9-14-;4300;yes;yes;14,1568;no;12,772;no;10,8676;no;no;
2-4-5-7-8-9-12-13-14-;4900;yes;yes;13,4769;no;12,1262;no;10,2242;no;no;
2-4-5-6-13-14-;5000;yes;yes;13,6614;no;12,1781;no;10,2735;no;no;
2-4-5-6-10-9-14-;5300;no;yes;13,4493;no;12,0207;no;10,111;no;no;
2-3-6-13-14-;4900;yes;yes;13,7743;no;12,2352;no;10,3329;no;no;
2-3-6-10-9-14-;5200;no;yes;13,5568;no;12,0758;no;10,1682;no;no;
2-1-8-9-14-;5100;no;yes;13,6811;no;12,1506;no;10,2445;no;no;
2-1-8-9-12-13-14-;5700;no;yes;13,0671;no;11,5855;no;9,6817;no;no;
3-6-5-4-;3700;no;yes;17,9985;yes;16,4791;no;14,5759;no;no;
3-2-4-;1600;yes;yes;21,3718;yes;20,0428;yes;18,1386;yes;no;
3-1-2-4-;3700;no;yes;18,0038;yes;16,4862;no;14,5827;no;no;
3-6-5-;3100;no;yes;18,7707;yes;17,2132;no;15,3121;no;no;
