index;origin;destination;slots;max_length;osnr_limit;pch
1;1;2;3;500;22;0.000375
2;1;3;3;500;22;0.000375
3;1;4;3;500;22;0.000375
4;1;5;3;500;22;0.000375
5;1;6;3;500;22;0.000375
6;1;7;3;500;22;0.000375
7;1;8;3;500;22;0.000375
8;1;9;3;500;22;0.000375
9;1;10;3;500;22;0.000375
10;2;3;3;500;22;0.000375
11;2;4;3;500;22;0.000375
12;2;5;3;500;22;0.000375
13;2;6;3;500;22;0.000375
14;2;7;3;500;22;0.000375
15;2;8;3;500;22;0.000375
16;2;9;3;500;22;0.000375
17;2;10;3;500;22;0.000375
18;3;4;3;500;22;0.000375
19;3;5;3;500;22;0.000375
20;3;6;3;500;22;0.000375
21;3;7;3;500;22;0.000375
22;3;8;3;500;22;0.000375
23;3;9;3;500;22;0.000375
24;3;10;3;500;22;0.000375
25;4;5;3;500;22;0.000375
26;4;6;3;500;22;0.000375
27;4;7;3;500;22;0.000375
28;4;8;3;500;22;0.000375
29;4;9;3;500;22;0.000375
30;4;10;3;500;22;0.000375
31;5;6;3;500;22;0.000375
32;5;7;3;500;22;0.000375
33;5;8;3;500;22;0.000375
34;5;9;3;500;22;0.000375
35;5;10;3;500;22;0.000375
36;6;7;3;500;22;0.000375
37;6;8;3;500;22;0.000375
38;6;9;3;500;22;0.000375
39;6;10;3;500;22;0.000375
40;7;8;3;500;22;0.000375
41;7;9;3;500;22;0.000375
42;7;10;3;500;22;0.000375
43;8;9;3;500;22;0.000375
44;8;10;3;500;22;0.000375
45;9;10;3;500;22;0.000375
