Index;Origin;Destination;length;slices;cost;lineAmps;pnliC;paseC;pnliL;paseL;pnliS;paseS
1;1;3;160;70;0;2;4.796354727527982e-08;3.9440502160069135e-07;3.140320599365598e-08;6.304470916158068e-07;8.460434429538387e-08;9.443206007736684e-07
2;1;9;313;70;0;4;9.55126646837662e-08;7.261599070407689e-07;6.260065244638662e-08;1.1520360759266884e-06;1.6847766327824765e-07;1.725587148865759e-06
3;2;3;124;70;0;2;4.482601526654147e-08;1.664377574676858e-07;2.977122567048175e-08;2.4663801074956187e-07;7.906995717464858e-08;3.6942886656471534e-07
4;2;4;288;70;0;4;9.373777487035321e-08;5.394598237287482e-07;6.170126392715187e-08;8.333427848973381e-07;1.6534688172869874e-07;1.2482296607440259e-06
5;2;5;159;70;0;2;4.790599207597552e-08;3.8519594571236994e-07;3.1374719502121364e-08;6.144005240706903e-07;8.450282094745501e-08;9.202851115056906e-07
6;3;5;132;70;0;2;4.575165803840006e-08;2.0215766236442422e-07;3.026698025367573e-08;3.04541300694795e-07;8.070272631316516e-08;4.561598076302281e-07
7;4;5;291;70;0;4;9.39777203008921e-08;5.591318592085717e-07;6.182442823103625e-08;8.664763306606125e-07;1.657701286937513e-07;1.2978590273586704e-06
8;4;10;195;70;0;3;6.83027005611083e-08;2.889025368462912e-07;4.5227895403885694e-08;4.3342151979512283e-07;1.2048118879553416e-07;6.492041527421094e-07
9;5;9;183;70;0;3;6.685261227364434e-08;2.377341703216274e-07;4.444728518510896e-08;3.5085680230951044e-07;1.1792333443111069e-07;5.255338802393138e-07
10;5;10;264;70;0;4;9.150331607680012e-08;4.0431532472884844e-07;6.053396050735146e-08;6.0908260138959e-07;1.6140545262633031e-07;9.123196152604562e-07
11;5;11;352;70;0;5;1.1649807223888023e-07;6.246203970215711e-07;7.677849201018431e-08;9.584102392566732e-07;2.0549445513023146e-07;1.4355630233821915e-06
12;6;7;35;70;0;1;1.616859100116082e-08;2.0384866803546362e-08;1.1207558095688521e-08;2.725223674729621e-08;2.8520264191103343e-08;4.081999730013152e-08
13;6;9;37;70;0;1;1.6885593769903562e-08;2.284178076526553e-08;1.1653711383991901e-08;3.075238356226939e-08;2.9785006950000976e-08;4.606272232348008e-08
14;7;8;42;70;0;1;1.8466021745892573e-08;3.007173334833634e-08;1.2618286677807953e-08;4.122368859041527e-08;3.2572771413025686e-08;6.174725665881959e-08
15;8;9;95;70;0;2;3.977740411317825e-08;8.040906404824861e-08;2.6923643804476125e-08;1.1251970106857367e-07;7.016456004500801e-08;1.6853860240614844e-07
16;8;11;194;70;0;3;6.819124973281632e-08;2.842693758836734e-07;4.51684763737215e-08;4.2588433726989197e-07;1.2028459732587694e-07;6.379145190440223e-07
17;10;11;393;70;0;5;1.1949771297571524e-07;9.228616294795267e-07;7.830406081309407e-08;1.4663032540888586e-06;2.1078561168721213e-07;2.1963149457454957e-06
18;10;13;281;70;0;4;9.314591296997879e-08;4.961165192005475e-07;6.139554509621681e-08;7.607554620626316e-07;1.643028787130918e-07;1.1395041146682359e-06
19;11;12;79;70;0;1;2.392356600686171e-08;1.8809824699184775e-07;1.5672757852518084e-08;2.9937764349663516e-07;4.219949795625414e-08;4.4842537926597286e-07
20;11;13;225;70;0;3;7.098855776105647e-08;4.667954285604504e-07;4.662577203470056e-08;7.303319480520526e-07;1.252188531298351e-07;1.093933992432469e-06
21;12;14;66;70;0;1;2.287582901920003e-08;1.0107883118221211e-07;1.5133490126837865e-08;1.522706503473975e-07;4.035136315658258e-08;2.2807990381511405e-07
22;13;15;208;70;0;3;6.961285098816248e-08;3.56076895432603e-07;4.5918442084669324e-08;5.439189463823483e-07;1.2279220255715315e-07;8.147136739159824e-07
23;13;17;166;70;0;3;6.432075717710706e-08;1.796282581482214e-07;4.304952444945617e-08;2.5913423552296346e-07;1.1345731904104669e-07;3.881464443636348e-07
24;14;15;80;70;0;1;2.398177363763991e-08;1.9720251080034567e-07;1.570160299682799e-08;3.152235458079034e-07;4.230217214769193e-08;4.721603003868342e-07
25;15;16;92;70;0;2;3.906157675791439e-08;7.436381696755323e-08;2.6504049601249423e-08;1.0347079105893496e-07;6.890189063331476e-08;1.5498461468808588e-07
26;16;17;156;70;0;2;4.772538187759704e-08;3.58807485107098e-07;3.1284884966229873e-08;5.686289055994692e-07;8.418423718384864e-08;8.51725698942857e-07
