889,913
809,809
342,342
1122,1122
931,931
1028,1028
791,791
1184,1184
1403,1454
708,708
649,649
264,264
356,356
1287,1287
1478,1478
1570,1570
876,876
1998,1998
778,778
463,463
1491,1587
507,507
601,601
288,288
841,841
437,437
357,357
838,838
1495,1495
1153,1153
1452,1452
1683,1683
1794,1794
1188,1188
1940,1964
1051,1051
1461,1461
1805,1805
2266,2266
811,811
905,905
217,217
787,787
1402,1402
527,527
279,279
1168,1192
1210,1210
1100,1100
1600,1600
2100,2100
2700,2700
3600,3600
3500,3500
2800,2800
3500,3500
4400,4400
4500,4500
4000,4000
4300,4300
4000,4000
600,600
1000,1000
1600,1600
2600,2600
2400,2400
3100,3100
3800,3800
3800,3800
3400,3400
4200,4200
4500,4600
4200,4200
1600,1600
2200,2200
2000,2000
3000,3000
3700,3700
4100,4100
3200,3200
4000,4000
4300,4300
4000,4000
4300,4300
600,600
1700,1700
1400,1400
2100,2100
2800,2800
2900,2900
2400,2400
3200,3200
3500,3500
3200,3200
1100,1100
800,800
1500,1500
2200,2200
2300,2300
3000,3000
2700,2700
3000,3100
2700,2700
1900,1900
2600,2600
2100,2100
1200,1200
3100,3100
2300,2300
2000,2000
2300,2300
700,700
1400,1400
2300,2300
2700,2700
1900,1900
2200,2200
1900,1900
700,700
1600,1600
2000,2000
1200,1200
1500,1500
1200,1200
900,900
1300,1300
500,500
800,800
500,500
2200,2200
1400,1400
1700,1700
1400,1400
800,800
1100,1100
800,800
300,300
600,600
300,300
288,288
511,511
870,870
588,643
642,642
391,391
602,602
993,1003
572,572
843,843
484,484
412,412
291,291
711,711
352,352
379,379
271,271
662,662
236,236
414,414
627,627
585,585
194,194
437,437
289,289
342,342
680,680
195,195
423,423
393,393
667,722
79,79
394,470
166,166
225,225
476,476
733,764
656,656
145,145
225,433
248,248
684,684
828,1004
156,156
776,776
